last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Hentges, Sam,656529,CLE,FF,4-Seamer,2,4,219,40.6,57,0.375,0.521,0.426,23.00,19.3,20,0.337,0.559,0.416,52.6
Abreu, Bryan,650556,HOU,FF,4-Seamer,0.8,2,290,48.4,57,0.304,0.391,0.369,25.50,19.3,17.2,0.284,0.491,0.416,41.7
Greinke, Zack,425844,KC,SL,Slider,2.4,5,188,14.4,56,0.339,0.571,0.417,22.80,14.3,12.3,0.3,0.411,0.317,33.3
Yarbrough, Ryan,642232,TB,CH,Changeup,1.7,3,171,26.1,56,0.296,0.389,0.324,17.20,12.5,10.3,0.35,0.615,0.404,39.6
Gustave, Jandel,594311,MIL,SIFT,Sinker,1.4,3,207,55.9,56,0.286,0.469,0.404,14.80,19.6,20.4,0.315,0.522,0.397,52.6
Lauer, Eric,641778,MIL,CUKC,Curveball,0.4,1,283,17.6,56,0.308,0.577,0.386,17.60,14.3,18.2,0.364,0.75,0.469,37.8
Banks, Tanner,621383,CWS,SL,Slider,0.8,2,224,33.6,56,0.283,0.491,0.366,15.00,7.1,5.2,0.323,0.589,0.399,46.9
Stroman, Marcus,573186,CHC,SL,Slider,0.9,2,228,24.8,56,0.222,0.37,0.277,28.60,28.6,20.3,0.241,0.361,0.264,46.2
Crawford, Kutter,676710,BOS,FF,4-Seamer,0.6,2,274,41.6,56,0.286,0.49,0.377,27.40,32.1,20.9,0.253,0.582,0.389,54.8
Jiménez, Dany,666204,OAK,SL,Slider,-2.5,-6,246,59.7,56,0.102,0.122,0.19,47.40,32.1,23.4,0.128,0.181,0.203,22.6
Robles, Hansel,570663,BOS,FF,4-Seamer,0.7,1,210,49.8,56,0.239,0.435,0.363,28.70,23.2,22.4,0.322,0.625,0.451,64.7
Taylor, Blake,642130,HOU,FF,4-Seamer,-0.4,-1,226,74.1,56,0.25,0.292,0.305,16.20,8.9,8.8,0.279,0.407,0.35,30.2
Tate, Dillon,622253,BAL,CH,Changeup,-0.8,-2,191,29.1,56,0.167,0.375,0.296,41.20,33.9,24.1,0.219,0.382,0.306,33.3
Littell, Zack,641793,SF,SL,Slider,1,2,211,41,56,0.288,0.519,0.356,30.30,17.9,14.5,0.222,0.369,0.275,27.9
Shreve, Chasen,592741,NYM,FF,4-Seamer,1.7,4,211,44.5,56,0.3,0.62,0.415,20.20,16.1,17.3,0.34,0.74,0.475,54.8
Castellanos, Humberto,528748,ARI,SL,Slider,1,2,195,26.1,55,0.235,0.51,0.355,14.10,18.2,17.2,0.273,0.507,0.353,26.8
Maton, Phil,664208,HOU,CUKC,Curveball,1.1,2,196,30.4,55,0.182,0.432,0.337,27.60,23.6,20.3,0.249,0.38,0.347,25
Kimbrel, Craig,518886,LAD,CUKC,Curveball,-0.2,0,200,33.8,55,0.184,0.245,0.275,47.10,38.2,26.3,0.203,0.307,0.269,31
Cease, Dylan,656302,CWS,CUKC,Curveball,2.3,6,257,13.9,55,0.292,0.479,0.393,30.00,27.3,18.8,0.248,0.394,0.325,45.5
Murfee, Penn,682171,SEA,FF,4-Seamer,-1.4,-3,239,44.5,55,0.22,0.36,0.29,19.70,18.2,15.9,0.269,0.444,0.337,35
Martínez, Adrián,661309,OAK,SIFT,Sinker,2.7,5,180,54.2,55,0.34,0.66,0.465,7.70,9.1,11.6,0.399,0.792,0.514,53.3
Gore, MacKenzie,669022,SD,SL,Slider,2.9,6,192,15.7,55,0.292,0.417,0.357,32.30,29.1,16.3,0.274,0.472,0.364,43.8
Burnes, Corbin,669203,MIL,SL,Slider,-0.3,-1,185,10.2,55,0.145,0.327,0.197,52.00,45.5,31.3,0.155,0.29,0.185,26.7
Richards, Garrett,572070,TEX,SL,Slider,0.9,2,204,37.6,55,0.189,0.264,0.231,30.20,29.1,19.3,0.246,0.386,0.283,27
Thompson, Ryan,657044,TB,SL,Slider,1.3,3,202,39,55,0.224,0.306,0.298,34.80,29.1,20.8,0.191,0.256,0.247,27.3
Duffey, Tyler,608648,MIN,FF,4-Seamer,-0.7,-1,227,36.3,55,0.306,0.531,0.41,23.00,27.3,23.1,0.336,0.589,0.42,52.9
Garcia, Yimi,554340,TOR,FF,4-Seamer,-4.8,-10,202,40.5,55,0.096,0.115,0.13,30.40,36.4,28.2,0.14,0.232,0.175,27.3
Norris, Daniel,596057,CHC,FF,4-Seamer,4,9,225,38.8,55,0.333,0.762,0.546,16.30,16.4,15.3,0.341,0.738,0.506,57.6
Cimber, Adam,643256,TOR,FF,4-Seamer,-1.5,-3,166,29.6,55,0.115,0.173,0.173,27.80,36.4,19.8,0.143,0.196,0.175,25
Givens, Mychal,571710,CHC,SL,Slider,-0.8,-2,203,32.5,55,0.196,0.294,0.247,29.50,20,23.4,0.205,0.377,0.276,27.5
Hernández, Carlos,672578,KC,CUKC,Curveball,1.3,2,144,23.3,55,0.245,0.347,0.292,19.20,16.4,20.5,0.249,0.342,0.294,31.7
Taillon, Jameson,592791,NYY,CUKC,Curveball,-1.7,-4,223,14.3,55,0.176,0.255,0.199,27.20,40,20.6,0.221,0.329,0.247,22.6
Effross, Scott,664123,CHC,SL,Slider,-2.9,-7,233,41.1,55,0.16,0.2,0.198,31.10,43.6,30,0.151,0.237,0.203,25.9
Loáisiga, Jonathan,642528,NYY,SIFT,Sinker,2.2,4,194,60.4,55,0.362,0.489,0.428,21.40,14.5,17.8,0.326,0.503,0.404,33.3
Tepera, Ryan,572193,LAA,SL,Slider,0.1,0,228,40.2,55,0.17,0.302,0.219,39.10,29.1,16.8,0.241,0.433,0.297,32.4
Quijada, José,650671,LAA,FF,4-Seamer,-1.3,-3,220,80.6,55,0.191,0.277,0.262,39.70,40,27.5,0.137,0.227,0.229,38.5
Mantiply, Joe,573009,ARI,CH,Changeup,-0.3,0,141,26.3,54,0.241,0.278,0.23,25.50,16.7,16.4,0.21,0.269,0.205,22.2
Muñoz, Andrés,662253,SEA,FF,4-Seamer,1.6,4,236,38.8,54,0.367,0.571,0.427,23.80,24.1,14.4,0.293,0.487,0.351,62.2
Eflin, Zach,621107,PHI,CUKC,Curveball,-1.1,-2,215,19.7,54,0.157,0.255,0.205,45.10,48.1,24.8,0.171,0.224,0.199,16
Crowe, Wil,640444,PIT,SIFT,Sinker,-1.3,-3,202,21.7,54,0.213,0.234,0.281,17.60,14.8,18.2,0.254,0.311,0.304,17.9
Hughes, Brandon,676714,CHC,FF,4-Seamer,-0.4,-1,224,52,54,0.222,0.4,0.341,20.40,27.8,21.1,0.235,0.457,0.344,38.7
Goudeau, Ashton,623485,COL,FF,4-Seamer,0.3,1,206,54.9,54,0.283,0.391,0.404,19.00,9.3,11.1,0.3,0.436,0.37,51.2
Wendelken, J.B.,605525,ARI,FF,4-Seamer,-0.9,-2,228,46.7,54,0.227,0.25,0.303,21.20,13,13,0.298,0.363,0.362,32.4
Chacín, Jhoulys,468504,COL,SL,Slider,-0.9,-2,186,28.1,54,0.18,0.46,0.313,27.20,16.7,30,0.284,0.628,0.4,43.9
Hoffman, Jeff,656546,CIN,CH,Changeup,-0.1,0,204,24.7,54,0.239,0.348,0.336,37.00,29.6,19.8,0.225,0.322,0.3,40
Musgrove, Joe,605397,SD,FC,Cutter,-2.2,-6,260,16.9,54,0.231,0.5,0.319,16.40,5.6,18.8,0.235,0.425,0.293,38.8
King, Michael,650633,NYY,SL,Slider,-3,-7,230,31.1,54,0.12,0.18,0.188,44.00,38.9,27.6,0.139,0.167,0.173,6.9
Kolarek, Adam,592473,OAK,SIFT,Sinker,-0.5,-1,199,62.4,53,0.304,0.326,0.337,6.80,11.3,13.3,0.283,0.399,0.345,40
Cishek, Steve,518553,WSH,FF,4-Seamer,-0.6,-1,192,28.1,53,0.159,0.227,0.262,30.10,34,21.7,0.187,0.311,0.302,33.3
Luzardo, Jesús,666200,MIA,CUKC,Curveball,-1.2,-2,198,38.2,53,0.13,0.261,0.235,39.80,45.3,25,0.161,0.29,0.256,40.9
Acevedo, Domingo,642758,OAK,SL,Slider,-2.7,-5,194,31.8,53,0.118,0.196,0.159,48.30,39.6,35.6,0.163,0.236,0.195,16.1
Danish, Tyler,641501,BOS,CUKC,Curveball,-1.7,-4,208,41.7,53,0.157,0.235,0.19,27.20,30.2,22.9,0.211,0.341,0.249,22.9
Strickland, Hunter,519326,CIN,SL,Slider,0.9,2,241,38.7,53,0.239,0.457,0.334,40.40,22.6,16.9,0.229,0.457,0.332,25.7
Long, Sam,669674,SF,CH,Changeup,0.3,0,173,28.4,53,0.176,0.451,0.275,32.70,18.9,15.9,0.23,0.397,0.281,26.8
Doval, Camilo,666808,SF,FC,Cutter,2.9,8,269,40.6,53,0.366,0.707,0.495,19.30,9.4,8.2,0.317,0.618,0.451,43.2
Minor, Mike,501985,CIN,CH,Changeup,3.5,5,154,21.2,52,0.311,0.756,0.463,26.30,23.1,28.6,0.265,0.626,0.398,32.4
Leone, Dominic,608678,SF,FF,4-Seamer,1,2,192,37.1,52,0.34,0.596,0.428,20.20,23.1,21.1,0.262,0.441,0.334,51.4
