last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Gausman, Kevin,592332,TOR,FS,Splitter,-1.6,-9,533,35.5,167,0.178,0.261,0.228,46.30,40.7,25.5,0.173,0.219,0.196,22
Hudson, Dakota,641712,STL,SIFT,Sinker,1,6,570,36.7,166,0.309,0.426,0.384,8.60,6.6,8.1,0.347,0.538,0.425,49.2
Gallen, Zac,668678,ARI,FF,4-Seamer,-0.3,-2,769,49.3,165,0.204,0.366,0.313,15.80,23.6,18.1,0.242,0.465,0.358,42.3
Flexen, Chris,623167,SEA,FF,4-Seamer,0.1,1,647,40.6,164,0.314,0.521,0.402,14.10,11.6,11.8,0.325,0.649,0.446,54.5
Wisler, Matt,605538,TB,SL,Slider,-0.7,-4,663,91.6,163,0.19,0.381,0.281,25.00,20.9,15.6,0.22,0.461,0.315,31
Gray, Josiah,680686,WSH,FF,4-Seamer,1.4,9,667,42.2,162,0.271,0.609,0.432,16.50,9.3,10.8,0.278,0.697,0.445,42.5
López, Pablo,641154,MIA,CH,Changeup,-1.2,-7,610,36.9,162,0.18,0.313,0.257,38.90,30.2,23.2,0.248,0.405,0.306,35.6
Manoah, Alek,666201,TOR,FF,4-Seamer,-1.2,-7,626,37.4,162,0.238,0.408,0.31,24.60,24.7,20.8,0.246,0.433,0.314,38.2
Wheeler, Zack,554430,PHI,FF,4-Seamer,-1.6,-10,617,39.6,161,0.205,0.325,0.252,30.40,32.3,24.9,0.225,0.389,0.282,47
Garcia, Luis,677651,HOU,FF,4-Seamer,0.6,4,609,44.5,161,0.278,0.542,0.393,16.30,14.3,16.9,0.283,0.584,0.394,45.1
Wood, Alex,622072,SF,SIFT,Sinker,0.2,2,715,46.9,160,0.26,0.438,0.323,23.50,30,19.8,0.26,0.491,0.335,42.6
Cease, Dylan,656302,CWS,FF,4-Seamer,-0.3,-2,746,40.5,160,0.238,0.385,0.347,26.20,26.3,19.4,0.235,0.421,0.353,38.2
Wright, Kyle,657140,ATL,CUKC,Curveball,-0.9,-5,539,32.9,159,0.23,0.311,0.271,34.10,32.1,27,0.234,0.365,0.28,36.7
Anderson, Ian,666120,ATL,CH,Changeup,-0.6,-3,549,33.5,159,0.197,0.317,0.278,35.60,30.8,21.2,0.241,0.366,0.305,34.4
Lauer, Eric,641778,MIL,FF,4-Seamer,-0.3,-2,698,43.4,159,0.182,0.427,0.293,30.40,34,21.3,0.2,0.413,0.299,50
López, Pablo,641154,MIA,FF,4-Seamer,-1.4,-9,632,38.3,159,0.229,0.34,0.286,19.80,25.8,21,0.252,0.391,0.309,32.7
Gomber, Austin,596295,COL,FF,4-Seamer,2.2,14,637,42.8,158,0.368,0.61,0.452,12.30,10.1,12.4,0.349,0.609,0.435,43.1
Morton, Charlie,450203,ATL,FF,4-Seamer,0.6,3,545,32.5,158,0.271,0.493,0.365,19.90,26.6,21,0.269,0.537,0.371,49
Singer, Brady,663903,KC,SIFT,Sinker,0.4,2,602,53.6,158,0.259,0.448,0.346,11.50,19.6,21.5,0.247,0.462,0.335,39.3
Giolito, Lucas,608337,CWS,FF,4-Seamer,-0.5,-3,675,46,157,0.282,0.444,0.346,25.30,24.2,22.5,0.281,0.519,0.374,48.1
Flexen, Chris,623167,SEA,FC,Cutter,-0.3,-2,540,33.9,157,0.255,0.356,0.288,23.30,16.6,19.1,0.275,0.446,0.324,36.6
Kuhl, Chad,641771,COL,SL,Slider,-1.9,-10,542,35.7,157,0.186,0.338,0.256,35.90,33.8,23.1,0.216,0.38,0.276,28.7
Morton, Charlie,450203,ATL,CUKC,Curveball,0.1,1,617,36.7,155,0.19,0.365,0.283,39.90,38.1,26,0.191,0.325,0.268,31.6
Keller, Brad,641745,KC,SL,Slider,-1.4,-8,547,36.2,154,0.207,0.307,0.261,26.30,18.8,17,0.251,0.418,0.315,39.3
Bieber, Shane,669456,CLE,SL,Slider,-1.1,-6,540,34.6,154,0.197,0.279,0.235,39.70,29.9,29.1,0.214,0.348,0.258,35.6
Cortes, Nestor,641482,NYY,FC,Cutter,-1.2,-7,537,35.8,153,0.184,0.39,0.282,24.80,24.2,23.1,0.226,0.386,0.291,38.5
Blackburn, Paul,621112,OAK,SIFT,Sinker,0.1,1,528,34.7,152,0.238,0.346,0.338,14.30,13.2,16.5,0.289,0.436,0.363,48.6
Kuhl, Chad,641771,COL,SIFT,Sinker,1.2,8,643,42.4,152,0.343,0.485,0.41,10.80,0.7,1.8,0.356,0.602,0.437,52.2
Quantrill, Cal,615698,CLE,FC,Cutter,0.8,5,593,37.7,151,0.271,0.436,0.331,26.50,19.9,18,0.272,0.485,0.34,43.8
Verlander, Justin,434378,HOU,SL,Slider,-0.3,-1,483,29.8,151,0.201,0.271,0.241,36.10,35.8,25.8,0.212,0.335,0.254,25.6
Alcantara, Sandy,645261,MIA,CH,Changeup,-2.5,-13,526,27,151,0.142,0.184,0.182,38.00,30.5,29.5,0.176,0.224,0.201,25.8
Cortes, Nestor,641482,NYY,FF,4-Seamer,-1.5,-9,605,40.3,151,0.207,0.307,0.253,23.50,27.2,19.3,0.212,0.377,0.274,39
Kaprielian, James,621076,OAK,FF,4-Seamer,0.8,5,599,52.8,150,0.28,0.536,0.405,14.90,12.7,12.3,0.294,0.568,0.414,40.2
Severino, Luis,622663,NYY,FF,4-Seamer,-1.4,-9,646,46,150,0.204,0.431,0.309,20.00,16,15.3,0.255,0.485,0.34,42.1
Brieske, Beau,689225,DET,FF,4-Seamer,-0.5,-3,601,46.7,149,0.252,0.449,0.35,15.00,14.1,12.8,0.356,0.686,0.468,52.8
Lyles, Jordan,543475,BAL,FF,4-Seamer,1,6,575,31.8,149,0.282,0.534,0.394,21.20,15.4,15.4,0.339,0.636,0.442,53.7
Gonzales, Marco,594835,SEA,FF,4-Seamer,-0.4,-3,601,38,147,0.22,0.364,0.336,13.10,10.9,10.1,0.297,0.517,0.399,42.1
Archer, Chris,502042,MIN,SL,Slider,-1.6,-8,489,43.2,147,0.184,0.312,0.289,29.10,19.7,16.1,0.256,0.451,0.35,41.8
Plesac, Zach,668676,CLE,FF,4-Seamer,0.4,3,641,42.9,147,0.317,0.508,0.405,14.70,5.4,6.4,0.366,0.734,0.488,54.6
Nola, Aaron,605400,PHI,CUKC,Curveball,-1.1,-5,487,26.3,146,0.201,0.347,0.24,37.80,36.3,27.7,0.201,0.349,0.238,31.9
Rodón, Carlos,607074,SF,SL,Slider,-0.7,-4,553,31.9,146,0.216,0.246,0.247,39.40,35.6,22,0.199,0.278,0.24,30.1
Alcantara, Sandy,645261,MIA,SIFT,Sinker,-1.6,-8,470,24.2,145,0.242,0.311,0.298,12.20,11.7,17.2,0.251,0.356,0.3,39.1
Fedde, Erick,607200,WSH,SIFT,Sinker,-1,-6,614,37.6,145,0.234,0.336,0.301,15.00,16.6,15,0.276,0.406,0.338,52.9
Valdez, Framber,664285,HOU,CUKC,Curveball,-1.1,-5,486,28.2,145,0.148,0.203,0.226,41.00,43.4,26.7,0.186,0.272,0.251,37.9
Senzatela, Antonio,622608,COL,FF,4-Seamer,1.1,6,563,55.4,145,0.385,0.57,0.428,12.50,9,9.8,0.345,0.576,0.407,44.7
Davies, Zach,605200,ARI,SIFT,Sinker,0.3,2,651,49.4,144,0.248,0.434,0.347,8.70,18.1,15.8,0.281,0.536,0.374,44.2
Brubaker, JT,664141,PIT,SL,Slider,1.4,7,511,32.8,144,0.215,0.385,0.334,39.60,34.7,24.3,0.206,0.385,0.291,33.8
Bubic, Kris,663460,KC,FF,4-Seamer,2.3,13,595,51.8,144,0.356,0.593,0.452,18.50,16.7,14.3,0.32,0.551,0.409,46.9
Manoah, Alek,666201,TOR,SL,Slider,-1.2,-6,478,28.5,144,0.172,0.269,0.221,33.50,29.9,21.6,0.207,0.306,0.252,19.4
Gray, Jon,592351,TEX,SL,Slider,0.1,0,509,35.2,143,0.165,0.301,0.249,40.40,40.6,26.9,0.182,0.299,0.247,28
Webb, Logan,657277,SF,SIFT,Sinker,-1.1,-6,585,32.4,143,0.326,0.457,0.39,16.10,11.2,22.2,0.318,0.487,0.377,45.1
Quintana, José,500779,PIT,FF,4-Seamer,-1.1,-6,555,35.4,142,0.231,0.403,0.296,26.00,27.5,17.9,0.259,0.417,0.309,34.7
McClanahan, Shane,663556,TB,FF,4-Seamer,-0.6,-4,562,34.6,142,0.236,0.441,0.337,27.80,24.6,22.9,0.24,0.479,0.342,39.1
Kirby, George,669923,SEA,FF,4-Seamer,-1.2,-7,564,51.8,142,0.239,0.388,0.29,26.60,28.9,22.4,0.241,0.451,0.305,46.3
Corbin, Patrick,571578,WSH,SL,Slider,1.7,10,558,32.6,141,0.277,0.5,0.374,38.10,29.8,20.7,0.252,0.466,0.332,38.6
Bieber, Shane,669456,CLE,FF,4-Seamer,0.7,4,544,34.9,141,0.302,0.444,0.373,13.80,15.6,19.1,0.349,0.6,0.429,52.4
Berríos, José,621244,TOR,FF,4-Seamer,2.8,14,504,31.8,141,0.383,0.68,0.474,16.10,15.6,16.9,0.343,0.703,0.458,56.6
Mikolas, Miles,571945,STL,SIFT,Sinker,-1.5,-7,465,25,141,0.198,0.29,0.259,11.50,17,16.7,0.244,0.391,0.299,32.7
Keller, Brad,641745,KC,FF,4-Seamer,0.6,3,502,33.3,140,0.244,0.389,0.31,18.60,24.3,21.1,0.252,0.379,0.292,28.6
Thompson, Keegan,624522,CHC,FF,4-Seamer,-0.6,-4,579,44.4,140,0.231,0.368,0.328,22.30,25,22,0.236,0.454,0.349,46.4
Cobb, Alex,502171,SF,SIFT,Sinker,0.1,0,483,43.4,139,0.281,0.388,0.356,11.20,28.1,26,0.236,0.344,0.306,40.2
Cobb, Alex,502171,SF,FS,Splitter,0.4,2,471,42.3,138,0.211,0.278,0.247,28.30,20.3,19.2,0.209,0.275,0.223,26.4
Gibson, Kyle,502043,PHI,SIFT,Sinker,0.1,0,487,31,138,0.287,0.434,0.361,20.70,16.7,20,0.294,0.493,0.37,49
Wainwright, Adam,425794,STL,CUKC,Curveball,-1.1,-6,516,29.1,137,0.264,0.395,0.304,24.10,24.1,17.9,0.246,0.366,0.284,25.8
Nola, Aaron,605400,PHI,FF,4-Seamer,-1.6,-10,621,33.5,137,0.159,0.246,0.213,22.70,32.8,21.4,0.179,0.364,0.26,30.5
Webb, Logan,657277,SF,SL,Slider,-0.5,-3,592,32.8,137,0.186,0.295,0.237,31.30,26.3,17.3,0.205,0.358,0.258,22.3
Bassitt, Chris,605135,NYM,SIFT,Sinker,-1.8,-9,495,29.7,136,0.254,0.377,0.319,19.00,14.7,26.7,0.244,0.447,0.326,35
Hill, Rich,448179,BOS,CUKC,Curveball,-0.1,-1,469,41.4,136,0.238,0.389,0.309,17.00,13.2,13.3,0.259,0.415,0.314,29.6
Alexander, Jason,669920,MIL,SIFT,Sinker,1.3,5,408,55.3,136,0.37,0.529,0.428,7.40,6.6,11.1,0.339,0.535,0.412,48.2
Darvish, Yu,506433,SD,FC,Cutter,-0.7,-4,607,36.4,136,0.301,0.447,0.366,26.70,11.8,20.8,0.32,0.515,0.386,34.6
Wells, Tyler,669330,BAL,FF,4-Seamer,0,0,560,41.5,134,0.25,0.468,0.326,19.70,11.9,10.8,0.297,0.615,0.395,52.7
Williams, Trevor,592866,NYM,FF,4-Seamer,-2.3,-11,465,52.1,134,0.22,0.307,0.26,23.50,25.4,20.2,0.219,0.381,0.275,41.9
Davies, Zach,605200,ARI,CH,Changeup,-1.4,-7,468,35.5,134,0.182,0.322,0.266,34.50,23.1,22,0.221,0.357,0.273,24.7
Wood, Alex,622072,SF,SL,Slider,0.6,3,514,33.7,133,0.269,0.37,0.322,28.90,24.8,17.8,0.259,0.368,0.31,40.2
Hearn, Taylor,621368,TEX,FF,4-Seamer,0.1,1,528,44.3,133,0.22,0.394,0.348,22.90,26.3,23.5,0.241,0.448,0.368,44
Hendricks, Kyle,543294,CHC,CH,Changeup,-0.1,0,413,30.7,132,0.232,0.392,0.291,37.30,29.5,22.3,0.225,0.38,0.278,29.1
Gonsolin, Tony,664062,LAD,FF,4-Seamer,-0.1,-1,540,37.6,132,0.252,0.487,0.371,18.30,13.6,15.7,0.283,0.528,0.385,35.1
Pérez, Martín,527048,TEX,CH,Changeup,-0.7,-3,461,27.7,132,0.227,0.313,0.266,32.60,18.2,18.8,0.26,0.361,0.275,24.8
Wainwright, Adam,425794,STL,SIFT,Sinker,-0.3,-1,522,29.5,132,0.221,0.328,0.276,9.50,25.8,21,0.282,0.532,0.366,52.8
Márquez, Germán,608566,COL,FF,4-Seamer,2,10,514,31.4,132,0.357,0.607,0.455,9.50,6.8,7.4,0.311,0.527,0.399,48.6
Holmes, Clay,605280,NYY,SIFT,Sinker,-2.4,-12,501,82.1,131,0.176,0.193,0.222,29.40,23.7,23.5,0.173,0.208,0.215,41.4
Kluber, Corey,446372,TB,FC,Cutter,-0.7,-3,479,34.5,131,0.288,0.424,0.315,25.30,13,19.3,0.284,0.483,0.331,32.4
Anderson, Tyler,542881,LAD,CH,Changeup,-1.8,-8,467,32.6,131,0.165,0.236,0.186,39.60,28.2,23.4,0.181,0.266,0.204,17.6
Colomé, Alex,517008,COL,FC,Cutter,-1,-5,475,87.6,131,0.256,0.336,0.282,23.30,19.1,21,0.267,0.409,0.302,42.6
Kershaw, Clayton,477132,LAD,SL,Slider,-1.5,-7,447,44.4,130,0.205,0.303,0.246,37.30,34.6,27.3,0.198,0.273,0.227,39.7
Urías, Julio,628711,LAD,CUKC,Curveball,-0.3,-1,507,34.9,129,0.238,0.459,0.318,24.60,25.6,21,0.221,0.435,0.292,28.9
Carrasco, Carlos,471911,NYM,FF,4-Seamer,-0.2,-1,585,38.1,129,0.319,0.521,0.386,22.30,18.6,16.1,0.306,0.569,0.391,49.5
Kelly, Merrill,518876,ARI,FF,4-Seamer,-0.6,-3,533,30.6,128,0.255,0.418,0.345,22.70,21.1,17.6,0.219,0.412,0.324,42.2
Walker, Taijuan,592836,NYM,FS,Splitter,-3.1,-12,397,27.9,128,0.161,0.185,0.181,28.30,28.1,20.6,0.233,0.349,0.262,47.7
Ohtani, Shohei,660271,LAA,FF,4-Seamer,-1.2,-6,510,36.8,127,0.243,0.339,0.298,19.90,18.9,19,0.285,0.42,0.339,34.1
Ashcraft, Graham,668933,CIN,FC,Cutter,-1.6,-8,470,51.3,127,0.277,0.353,0.305,13.30,8.7,9.3,0.276,0.403,0.31,32.1
Taillon, Jameson,592791,NYY,FF,4-Seamer,-0.5,-3,532,34.1,127,0.289,0.496,0.352,26.00,27.6,18.3,0.271,0.513,0.345,54.7
Scott, Tanner,656945,MIA,SL,Slider,0.3,2,505,68.3,126,0.204,0.359,0.314,39.40,31.7,25.2,0.22,0.373,0.322,32.8
Berríos, José,621244,TOR,CUKC,Curveball,-0.5,-3,503,31.7,126,0.161,0.347,0.244,33.90,38.1,25,0.208,0.427,0.291,44.3
Keller, Mitch,656605,PIT,FF,4-Seamer,0.4,2,534,35.1,125,0.289,0.465,0.354,21.90,20.8,16,0.239,0.454,0.321,28.1
Lyles, Jordan,543475,BAL,SL,Slider,0.4,2,447,24.7,125,0.259,0.371,0.293,33.00,23.2,16.3,0.243,0.411,0.312,24.7
Burke, Brock,656271,TEX,FF,4-Seamer,-2.1,-10,447,61.7,124,0.177,0.301,0.255,22.00,34.7,29.5,0.218,0.377,0.29,50
Alcantara, Sandy,645261,MIA,FF,4-Seamer,-1.1,-5,495,25.4,124,0.186,0.327,0.263,22.10,21.8,18.5,0.219,0.426,0.305,40.2
Cole, Gerrit,543037,NYY,SL,Slider,-0.9,-4,405,22.2,124,0.183,0.3,0.244,41.20,35.5,26.2,0.218,0.35,0.255,35.5
Carrasco, Carlos,471911,NYM,SL,Slider,-0.9,-3,372,24.2,124,0.233,0.336,0.27,35.10,28.2,24.3,0.224,0.353,0.269,23.2
Mikolas, Miles,571945,STL,SL,Slider,-0.8,-4,505,27.2,124,0.22,0.398,0.286,22.60,15.3,12.8,0.304,0.529,0.363,36
Detmers, Reid,672282,LAA,FF,4-Seamer,-1.1,-6,536,46.5,124,0.198,0.406,0.313,18.50,17.7,14.5,0.281,0.542,0.391,47.1
Gonsolin, Tony,664062,LAD,FS,Splitter,-3.2,-13,397,27.6,123,0.107,0.205,0.136,31.50,36.6,24.1,0.188,0.279,0.204,31.2
Kikuchi, Yusei,579328,TOR,FF,4-Seamer,0.8,5,626,51.7,122,0.242,0.455,0.371,25.90,21.3,19.8,0.301,0.645,0.449,52
Gilbert, Logan,669302,SEA,SL,Slider,0.1,0,435,23.7,122,0.229,0.314,0.268,21.60,24.6,13.5,0.254,0.403,0.292,38.6
Faedo, Alex,656412,DET,FF,4-Seamer,1,5,501,51.8,122,0.352,0.6,0.441,17.00,16.4,15.3,0.317,0.58,0.418,45.3
Lynch, Daniel,663738,KC,FF,4-Seamer,0.2,1,583,43.6,121,0.314,0.4,0.379,21.30,18.2,13.5,0.303,0.478,0.37,52.9
Eflin, Zach,621107,PHI,SIFT,Sinker,0.5,2,419,38.4,121,0.316,0.509,0.379,12.60,10.7,15.1,0.269,0.463,0.329,35.3
Pivetta, Nick,601713,BOS,CUKC,Curveball,2,10,484,27.6,121,0.272,0.395,0.32,21.50,26.4,22.1,0.273,0.432,0.322,46.3
Skubal, Tarik,669373,DET,SL,Slider,-0.4,-2,502,30.5,121,0.25,0.414,0.302,23.40,19,14.9,0.266,0.451,0.31,40
Kluber, Corey,446372,TB,CUKC,Curveball,-0.6,-2,380,27.3,120,0.228,0.36,0.282,27.30,30,22.9,0.235,0.406,0.29,32.1
Montas, Frankie,593423,OAK,FS,Splitter,-0.8,-3,386,25.7,120,0.174,0.252,0.23,32.00,33.3,20.9,0.189,0.282,0.221,33.3
Bundy, Dylan,605164,MIN,FF,4-Seamer,-1,-5,494,40.3,120,0.219,0.39,0.297,14.60,12.5,13.4,0.264,0.487,0.352,36.6
Eovaldi, Nathan,543135,BOS,FF,4-Seamer,-1.4,-6,459,40.2,119,0.259,0.393,0.3,18.60,20.2,19,0.285,0.565,0.371,47.2
Carrasco, Carlos,471911,NYM,CH,Changeup,-0.7,-3,371,24.1,119,0.241,0.348,0.273,31.00,32.8,23.9,0.229,0.36,0.276,35.6
Odorizzi, Jake,543606,HOU,FF,4-Seamer,-0.1,0,426,55.1,119,0.255,0.358,0.311,19.40,15.1,14.9,0.292,0.523,0.378,38.2
Lynch, Daniel,663738,KC,SL,Slider,-0.1,0,435,32.5,119,0.223,0.388,0.304,33.70,29.4,20,0.269,0.452,0.344,50.7
Kelly, Merrill,518876,ARI,CH,Changeup,-0.5,-2,393,22.6,119,0.232,0.321,0.266,26.10,21.8,19,0.225,0.33,0.256,33
Singer, Brady,663903,KC,SL,Slider,-0.3,-1,412,36.7,119,0.273,0.427,0.322,36.70,30.3,25.2,0.246,0.406,0.302,44.7
Plesac, Zach,668676,CLE,SL,Slider,0.4,2,366,24.5,118,0.217,0.322,0.268,38.70,35.6,27.8,0.233,0.365,0.265,34.2
Hudson, Dakota,641712,STL,SL,Slider,0.2,1,434,27.9,118,0.24,0.356,0.297,24.90,16.9,16.4,0.273,0.46,0.339,40.9
Junis, Jakob,596001,SF,SL,Slider,-2.2,-9,391,52.6,118,0.189,0.288,0.237,25.40,28.8,26.6,0.249,0.399,0.299,39
Wheeler, Zack,554430,PHI,SL,Slider,-0.4,-2,458,29.4,118,0.193,0.312,0.268,23.50,24.6,19.1,0.214,0.324,0.264,28.7
Hendricks, Kyle,543294,CHC,SIFT,Sinker,1,4,417,31,117,0.283,0.396,0.344,11.80,6.8,8,0.335,0.51,0.39,35.7
Knebel, Corey,608349,PHI,FF,4-Seamer,-1.6,-7,445,70.9,117,0.194,0.337,0.3,22.60,17.9,17.5,0.213,0.387,0.32,43.6
Gray, Josiah,680686,WSH,SL,Slider,-1.2,-6,451,28.5,117,0.179,0.313,0.23,45.20,43.6,29.8,0.194,0.294,0.228,34.4
Lauer, Eric,641778,MIL,SL,Slider,-1,-4,381,23.7,116,0.17,0.283,0.235,24.30,25,17.8,0.223,0.343,0.274,29.1
Whitlock, Garrett,676477,BOS,SIFT,Sinker,0,0,456,57,116,0.279,0.433,0.349,23.40,21.6,22.1,0.263,0.472,0.343,43.8
Irvin, Cole,608344,OAK,FF,4-Seamer,-1.5,-7,442,32.1,115,0.187,0.327,0.256,19.70,26.1,18.6,0.233,0.467,0.316,47.4
Mahle, Tyler,641816,CIN,FS,Splitter,1.2,5,418,25,115,0.265,0.412,0.315,24.40,16.5,14.6,0.241,0.353,0.3,20.7
Pilkington, Konnor,663455,CLE,FF,4-Seamer,0.3,1,446,59.5,115,0.289,0.454,0.388,21.70,15.7,17.1,0.298,0.55,0.413,48.8
Garcia, Luis,677651,HOU,FC,Cutter,-0.6,-3,408,29.8,115,0.152,0.276,0.233,45.10,39.1,28.8,0.195,0.319,0.253,26.2
Rogers, Trevor,669432,MIA,CH,Changeup,-0.1,-1,456,29.2,115,0.245,0.353,0.322,24.50,12.2,10.3,0.256,0.349,0.307,26.7
Pérez, Martín,527048,TEX,FC,Cutter,-2.8,-11,398,23.9,115,0.204,0.269,0.237,16.00,28.7,26.8,0.224,0.297,0.253,36
Espino, Paolo,502179,WSH,FF,4-Seamer,0.4,2,429,46.4,115,0.264,0.443,0.337,14.40,15.7,14,0.298,0.64,0.412,48.9
Steele, Justin,657006,CHC,SL,Slider,-0.9,-4,403,28.8,114,0.138,0.22,0.172,32.80,43,25.4,0.166,0.269,0.201,29.5
Contreras, Roansy,672710,PIT,FF,4-Seamer,-0.2,-1,451,50.9,114,0.278,0.557,0.404,20.30,16.7,14.6,0.325,0.679,0.459,64.1
Springs, Jeffrey,605488,TB,CH,Changeup,-1.8,-6,348,34.1,114,0.239,0.413,0.296,38.90,29.8,24.8,0.205,0.323,0.244,30.7
Gray, Sonny,543243,MIN,SIFT,Sinker,-1.2,-4,317,31.4,113,0.182,0.323,0.277,17.10,27.4,23.3,0.233,0.403,0.315,43.5
Woodruff, Brandon,605540,MIL,FF,4-Seamer,-0.3,-1,432,36.5,113,0.173,0.357,0.286,28.00,35.4,20.4,0.199,0.439,0.321,46.6
Fedde, Erick,607200,WSH,CUKC,Curveball,1.3,7,504,30.9,113,0.327,0.469,0.394,23.70,18.6,12.8,0.274,0.42,0.349,33.3
Bradish, Kyle,680694,BAL,FF,4-Seamer,3.6,16,435,52.3,113,0.374,0.626,0.455,16.90,15,15,0.344,0.635,0.439,43.4
Heasley, Jonathan,669169,KC,FF,4-Seamer,0.6,3,428,45.7,112,0.264,0.582,0.42,15.20,14.3,15.7,0.285,0.6,0.423,48.7
Fedde, Erick,607200,WSH,FC,Cutter,0.1,0,449,27.5,111,0.235,0.5,0.335,17.60,19.8,13.2,0.273,0.544,0.382,44.3
Snell, Blake,605483,SD,FF,4-Seamer,1.1,6,524,53.9,111,0.318,0.541,0.446,21.90,17.1,13.7,0.298,0.529,0.424,47.8
Shaw, Bryan,543766,CLE,FC,Cutter,0.8,3,386,77,111,0.229,0.396,0.334,20.10,18.9,20.4,0.25,0.444,0.347,46.7
Nola, Aaron,605400,PHI,SIFT,Sinker,-1.8,-7,373,20.1,111,0.194,0.33,0.254,11.60,26.1,28.4,0.226,0.388,0.286,37.3
Sandoval, Patrick,663776,LAA,SL,Slider,-2.5,-9,358,26.2,111,0.167,0.225,0.239,37.80,28.8,29.9,0.228,0.396,0.304,34.3
Sandoval, Patrick,663776,LAA,CH,Changeup,0.2,1,332,24.3,111,0.214,0.255,0.266,47.30,44.1,26.9,0.217,0.288,0.271,31.4
Wainwright, Adam,425794,STL,FC,Cutter,0.1,0,422,23.8,111,0.294,0.52,0.383,19.00,12.6,14,0.306,0.537,0.382,35.2
Pineda, Michael,501381,DET,FF,4-Seamer,0.4,2,363,60.9,110,0.324,0.61,0.409,10.80,9.1,13.7,0.35,0.709,0.452,48.4
Bumgarner, Madison,518516,ARI,FF,4-Seamer,2.3,12,527,31.1,110,0.316,0.558,0.44,21.10,16.4,11.8,0.288,0.572,0.404,51.9
Manaea, Sean,640455,SD,CH,Changeup,1.2,4,363,23.1,110,0.275,0.549,0.363,27.40,24.5,22,0.245,0.456,0.334,41.6
Márquez, Germán,608566,COL,CUKC,Curveball,-0.4,-1,338,20.6,110,0.151,0.236,0.192,35.70,45.5,24.8,0.162,0.287,0.213,30.4
Doval, Camilo,666808,SF,SL,Slider,-3,-11,374,56.5,110,0.168,0.228,0.207,38.20,38.2,31.8,0.179,0.267,0.229,33.9
Finnegan, Kyle,640448,WSH,SIFT,Sinker,-0.3,-2,459,74.8,110,0.218,0.356,0.284,26.20,31.8,22.3,0.207,0.356,0.275,50
Musgrove, Joe,605397,SD,SL,Slider,-1.5,-6,426,27.8,110,0.17,0.25,0.225,36.90,33.6,23.6,0.197,0.289,0.246,24.6
Manoah, Alek,666201,TOR,SIFT,Sinker,-0.9,-3,388,23.2,110,0.232,0.253,0.293,16.80,16.4,22.2,0.224,0.277,0.283,19.5
Giolito, Lucas,608337,CWS,CH,Changeup,0.9,3,362,24.7,110,0.223,0.436,0.339,39.70,35.5,33.1,0.205,0.352,0.302,20
Berríos, José,621244,TOR,SIFT,Sinker,-1.3,-5,376,23.7,109,0.282,0.427,0.33,11.30,12.8,16.1,0.327,0.527,0.377,37.8
Hoffman, Jeff,656546,CIN,FF,4-Seamer,1,4,430,52.1,109,0.245,0.457,0.362,17.10,17.4,17.4,0.24,0.475,0.356,42.1
Crismatt, Nabil,622503,SD,CH,Changeup,-3.1,-11,360,53.7,108,0.147,0.216,0.197,29.80,25,24.5,0.216,0.315,0.253,29.3
Darvish, Yu,506433,SD,SL,Slider,-1.5,-5,317,19,108,0.202,0.273,0.238,25.70,24.1,20.6,0.244,0.457,0.309,34.2
Márquez, Germán,608566,COL,SIFT,Sinker,1.5,5,354,21.6,108,0.316,0.561,0.4,9.70,1.9,8.7,0.388,0.647,0.451,56.6
Ashby, Aaron,676879,MIL,SL,Slider,0,0,378,30.9,108,0.232,0.316,0.301,39.90,44.4,27.4,0.183,0.284,0.264,25.5
Scherzer, Max,453286,NYM,FF,4-Seamer,-1.2,-5,464,44.9,108,0.212,0.333,0.267,25.40,25.9,26.9,0.238,0.461,0.329,41.7
Montas, Frankie,593423,OAK,FF,4-Seamer,0.1,0,414,27.6,108,0.222,0.354,0.272,28.20,38,22.9,0.22,0.383,0.286,45
Peterson, David,656849,NYM,SL,Slider,-1.4,-5,370,29,107,0.155,0.268,0.239,47.20,54.2,34.7,0.168,0.284,0.234,50
Dunning, Dane,641540,TEX,CH,Changeup,0,0,342,22,107,0.289,0.474,0.371,23.60,14,18.1,0.303,0.447,0.353,32.5
Wright, Kyle,657140,ATL,SIFT,Sinker,-2.4,-8,348,21.2,107,0.232,0.274,0.288,18.80,15,19.8,0.251,0.358,0.312,32.9
Anderson, Tyler,542881,LAD,FF,4-Seamer,0,0,508,35.4,107,0.29,0.516,0.39,18.00,16.8,15.8,0.279,0.556,0.389,42.9
Wacha, Michael,608379,BOS,FF,4-Seamer,0.9,3,361,33.1,107,0.26,0.417,0.339,11.10,15.9,13.9,0.315,0.561,0.401,46.8
Anderson, Tyler,542881,LAD,FC,Cutter,-0.9,-3,303,21.1,106,0.238,0.426,0.31,21.90,20.8,20.6,0.248,0.375,0.285,25.3
Wells, Tyler,669330,BAL,SL,Slider,-0.5,-2,348,25.8,106,0.202,0.319,0.276,26.10,22.6,17.1,0.212,0.315,0.281,33.3
Hicks, Jordan,663855,STL,SIFT,Sinker,0.1,0,432,66.8,105,0.233,0.314,0.33,13.10,9.5,12.2,0.291,0.473,0.39,39.5
