last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Almonte, Yency,622075,95.9,95.8,,84,89.6,,,
Gose, Anthony,543238,97,,,86.1,88,,,
Poppen, Sean,664092,,94.7,,83.6,85.3,,,
Kelly, Joe,523260,97.5,97.9,,,87.3,88.3,,
O'Day, Darren,503285,86,85.9,,78.2,,,,
Farmer, Buck,571656,94.5,,,82.8,88.3,,,
Price, David,456034,92.6,92.6,87.8,,84.3,78.4,,
Kinley, Tyler,641755,95.4,92.9,,89.5,88.8,,,
Goudeau, Ashton,623485,92.4,,,,84.8,77.5,,
Kelley, Trevor,665001,,90,,83.8,80.4,78.4,,
Sánchez, Cristopher,650911,,93.1,,84.9,84.3,,,
Norwood, James,656803,96.6,96.3,,88.4,,,90.7,
Snider, Collin,676092,94.1,96,,86.6,89.6,,,
Marinaccio, Ron,676760,94.3,,,79.8,83.7,,,
Paddack, Chris,663978,93,,,83.5,82.5,76,,
Tetreault, Jackson,676194,94.6,,86.6,,85.9,82.2,,
Sousa, Bennett,656986,94,,,87.3,,,,
Naughton, Packy,676050,92.6,92.3,,79.8,84.2,76.9,,
Thornburg, Tyler,592804,93.5,,,83.4,84.7,76.1,,
Thompson, Zack,668868,94.6,,87.8,,87.5,74.8,,
Loáisiga, Jonathan,642528,97.8,97.6,,88.6,88.6,86.6,,
Lee, Dylan,669276,92.3,,,85.5,86.3,83.3,,
Moran, Jovani,663558,93.1,,,80.9,83.7,,,
Hill, Garrett,682051,91.4,91.5,,82,81.9,77,,
Cuas, Jose,621016,,92.9,,81.8,87.2,,,
Feyereisen, J.P.,656420,92.2,,,84,87.1,,,
Overton, Connor,656818,91.1,90.8,,81.9,85.1,79.6,,
De Los Santos, Yerry,660787,95,95.3,,84,,,,
Martin, Corbin,656686,94.2,,,89.3,87.9,84.2,,
Borucki, Ryan,621366,,95.1,,87.6,84.9,,,
Elder, Bryce,693821,,91.3,89.4,82.5,86.1,78.6,,
Sands, Cole,663485,91.8,,84,,85.4,78.5,,
Barnes, Jacob,606930,95.3,,88.9,84.3,,,,
Romo, Sergio,489265,85.1,85.3,,77,79.9,,,
Pepiot, Ryan,686752,94.2,,,87.1,87,,,
Martínez, Adrián,661309,,93.4,,81.4,83.1,,,
Bolaños, Ronald,671790,93,93.1,,84.1,87.1,77,,
Medina, Adonis,658431,93.5,93.4,,86.7,87.5,80.6,,
DeSclafani, Anthony,543101,92.7,92.5,,87.4,87.9,80.9,,
Weaver, Luke,596133,94.5,92.7,85.6,,85.9,81.1,,
Kolarek, Adam,592473,89.4,88.1,,77.2,81.7,,,
Weems, Jordan,607179,97,,,87.7,87.1,81.1,,
Quijada, José,650671,94.4,,,80.8,86.9,,,
Bummer, Aaron,607481,,94.2,86,82,89.3,,,
Castillo, Max,666721,93.5,95.6,,83.5,87.8,81.7,,
Brogdon, Connor,641401,95.1,,88.9,,84.1,,,
Sears, JP,676664,93.7,,,80.6,84,,,
Mills, Wyatt,670090,92.6,91.7,,81.4,,,,
Barnes, Matt,598264,94.5,,,,86.5,83.6,,
Llovera, Mauricio,661440,95.6,95.4,,83.7,,,,
Woodford, Jake,663765,92.1,91.7,,82.1,85.5,75.4,,
Bradley, Archie,605151,93.6,93.2,,,85.6,79.7,,
Taylor, Blake,642130,92.6,,,84.4,,,,
González, Chi Chi,592346,93,92.2,90.7,84.1,85.8,81.3,,
Mills, Alec,621219,88.6,88.5,,76.1,78.9,65.8,,
Hembree, Heath,592390,93.9,,,84.2,,78.9,,
Matzek, Tyler,554431,94.4,,,83.1,,80.4,,
Lemoine, Jacob,621082,92.9,93.1,,83.9,85.9,,,
Speier, Gabe,642100,93.6,93.7,,81.9,87.3,,,
Moronta, Reyes,606625,94.8,,,81.9,88.6,,,
Megill, Trevor,656730,97.2,99,,,,82.4,,
Kowar, Jackson,663804,95.7,,,83.1,85.7,81,,
Valdez, Phillips,570488,,94.1,,84,86.9,,,
Cabrera, Edward,665795,96.9,96.1,,86.1,93.4,83.1,,
Steckenrider, Drew,608716,94.1,,,85.1,87,81.2,,
Merryweather, Julian,657240,97.3,,,88,81.6,80.2,,
Lawrence, Justin,664875,,95.5,,81.5,,,,
Detwiler, Ross,446321,92.4,91.8,85.7,,86.5,77.6,,
Leclerc, José,600917,95.9,,,83,89.2,,,
Peguero, Elvis,665625,,96.4,,90.9,,,,
Davidson, Tucker,656353,93.9,93.9,,87.5,85.6,79.8,,
Faucher, Calvin,676534,,95.5,,88.5,,85.3,,
Crick, Kyle,605195,92.2,92.1,,79.7,,,,
Grimm, Justin,518748,92.6,,,81.7,,82,,
Mayers, Mike,594577,93.8,,88.2,84.1,,,,
Álvarez, José,501625,91.4,90.8,,80.3,81.5,,,
Whitley, Kodi,676831,93.4,,,82.8,83.5,,,
McCarty, Kirk,668948,92.3,90.9,88.6,85.9,84.4,76.2,,
Warren, Austin,681810,93.6,93.5,,86.2,89.1,,,
Miley, Wade,489119,89.7,88.3,85.7,78.7,80.6,75.8,,
Yajure, Miguel,664337,92.3,92.9,89.2,81.4,88.9,80.1,,
Fernández, Junior,658551,98.8,98.8,,89,90.8,,,
Bruihl, Justin,677865,,88.5,86.2,76.9,,,,
Castro, Anthony,621593,94.8,95.5,,84.4,87.3,,,
Beasley, Jeremy,676886,95.4,,,82.2,,78.7,87.4,
Bird, Jake,656234,95.5,95.2,91.1,,86.8,81.8,,
Lawrence, Casey,596271,91.1,90.1,,81.5,83.2,75.8,,
