last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Peterson, David,656849,93.4,93,,84.1,85.6,77.6,,
Bundy, Dylan,605164,89.2,89.8,,79.3,81.2,72.2,,
Ryan, Joe,657746,91.7,,,81.4,83.9,73.6,,
Brieske, Beau,689225,94.3,93.5,,86.2,82,78.1,,
Thompson, Zach,605507,92.3,92.2,86.5,,85.9,77.4,,
Woodruff, Brandon,605540,96.1,95.6,,88.4,86,83.5,,
Rasmussen, Drew,656876,95.4,94.6,91.2,84.4,,79.5,,
Martinez, Nick,607259,93.2,93,87.9,,79.5,81.6,,
Gore, MacKenzie,669022,94.7,,,87.4,84.8,80.8,,
Stripling, Ross,548389,91.9,89.7,,86.9,82.5,76,,
Hearn, Taylor,621368,94.5,93.5,88.6,84.1,87.5,,,
Pallante, Andre,669467,95.3,94.9,,86.9,,76.5,,
Detmers, Reid,672282,93.1,93.4,,84,84.1,72.8,,
Syndergaard, Noah,592789,94.2,94,,83.5,88.5,76.2,,
Bubic, Kris,663460,91.5,,,,80.5,78.7,,
Kaprielian, James,621076,93.7,93.7,,86,84.6,79.2,,
Cueto, Johnny,456501,91.7,91.4,86.8,83.9,82.5,77.1,,
Cobb, Alex,502171,95.1,94.7,,,,83.8,89.7,
Singer, Brady,663903,92.8,93.8,,85.4,87,,,
Kikuchi, Yusei,579328,94.8,,91.1,86.9,86.8,,,
Eovaldi, Nathan,543135,96.3,,91.9,86.4,,79,88.2,
Adon, Joan,672851,95,95,,86.2,87.4,79.7,,
Lorenzen, Michael,547179,94.7,93.9,90.5,83.2,86.4,81.4,,
Otto, Glenn,657248,92.5,92.5,,80.6,88.1,80.9,,
Kirby, George,669923,95.5,95.1,,88.2,85.7,80.4,,
Archer, Chris,502042,93.1,,,88.7,86.9,82,,
Scherzer, Max,453286,93.8,,89.2,85.1,84,75.5,,
Hill, Rich,448179,88.4,85.9,84.1,69.1,81.8,71.9,,
Senzatela, Antonio,622608,94.1,92.6,,85.9,86.7,77.3,,
Springs, Jeffrey,605488,91.6,90.8,,85,81.3,,,
Kershaw, Clayton,477132,90.7,90.8,,86.5,83.8,73.1,,
Gray, Sonny,543243,92.1,92,83.1,81.5,88,78.7,,
Wacha, Michael,608379,93.2,93,88.9,,85,75,,
Eflin, Zach,621107,93.1,92.6,89.9,85.5,87,78.2,,
Snell, Blake,605483,95.5,,,89.1,86.9,81.2,,
Buehler, Walker,621111,95.2,94.9,91.5,83.5,90.5,79.2,,
Zimmermann, Bruce,669145,90.6,90.6,,85,84.7,81,,
Ashcraft, Graham,668933,,96.9,97.5,85.8,90,,,
Smeltzer, Devin,656970,89.5,88.4,,84.8,82.1,75.6,,
Stroman, Marcus,573186,92.2,91.8,88.9,84.4,,,86.8,
Espino, Paolo,502179,88.6,,,78,83.6,71.3,,
Faedo, Alex,656412,92.7,,,85,86.2,,,
Keuchel, Dallas,572971,88.1,87.2,85.2,77,79.3,,,
Crowe, Wil,640444,94.8,94.1,,87.3,85.7,81.1,,
Civale, Aaron,650644,90.5,91,86.2,80.2,,75.6,85.4,
Hernandez, Elieser,622694,91.4,91.9,,79.9,84.3,,,
White, Mitch,669952,93.7,94.2,,85,87.7,80.3,,
Smyly, Drew,592767,,92.1,88.2,,82.6,78,,
Heasley, Jonathan,669169,93.8,93.8,,87,85.3,79.1,,
Wilson, Bryse,669060,93,92.6,,84,86.3,77,,
