last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Cobb, Alex,502171,95.1,94.8,,,,83.9,89.7,
Bubic, Kris,663460,91.7,,,,80.5,79,,
Rasmussen, Drew,656876,95.5,94.8,90.7,84.5,,79.5,,
Kaprielian, James,621076,93.8,93.7,,85.3,84.8,79.2,,
Rogers, Trevor,669432,94.6,,,80.5,85.5,,,
Detmers, Reid,672282,93.2,93.8,,85.1,84.2,73,,
Scherzer, Max,453286,93.9,,89.2,85,84,75.1,,
Davies, Zach,605200,,89.3,87.6,76,79.4,74.6,,
Eovaldi, Nathan,543135,95.9,,90.9,86.2,,78.4,87.9,
Otto, Glenn,657248,92.3,92.4,,81,88.1,81.2,,
Bundy, Dylan,605164,89.2,89.8,,79.2,81.1,72.1,,
Snell, Blake,605483,95.7,,,88.8,86.9,81.2,,
Kikuchi, Yusei,579328,94.9,,91.1,86.6,87,,,
Ashcraft, Graham,668933,,97,97.2,85.7,89.8,,,
Senzatela, Antonio,622608,94.2,92.8,,86.1,87,78.2,,
Pallante, Andre,669467,95.2,94.8,,86.9,,76.5,,
Archer, Chris,502042,93.1,,,88.8,87,81.9,,
Wells, Tyler,669330,93.6,,,87.6,86.8,77.9,,
Syndergaard, Noah,592789,94.2,93.9,,84.3,88.5,76.2,,
Peterson, David,656849,93.6,93.1,,84.2,85.7,77.7,,
Stroman, Marcus,573186,92.2,92,89.2,84.5,,81.3,87.1,
Kirby, George,669923,95.4,94.9,,87.7,85.8,80.8,,
Hearn, Taylor,621368,94.7,93.6,88.6,84.5,87.6,,,
Martinez, Nick,607259,93.3,93.1,88.1,,79.5,81.6,,
Springs, Jeffrey,605488,91.6,91.1,,85.1,81.2,,,
Gray, Sonny,543243,92.2,92.1,83.3,81.6,88,78.8,,
Espino, Paolo,502179,88.5,,,77.8,83.5,71.3,,
Stripling, Ross,548389,91.9,89.7,,86.9,82.5,76,,
Severino, Luis,622663,96.1,95.4,90.3,85.1,88.9,,,
Houser, Adrian,605288,94.6,94,,84.9,85.6,81.1,,
Hendricks, Kyle,543294,86.9,86.5,,,79.9,72.7,,
Hill, Rich,448179,88.4,85.9,84.3,69.2,82,71.9,,
Brieske, Beau,689225,94.3,93.6,,86.2,82,78.1,,
Minor, Mike,501985,90.4,,,85.2,84.2,78.8,,
Bradish, Kyle,680694,94.8,,,86.4,89.7,82.7,,
Clevinger, Mike,605182,93.8,93.1,87.4,79.8,86.5,76.4,,
Wacha, Michael,608379,93.3,92.9,89,,84.9,75.1,,
Kershaw, Clayton,477132,90.7,90.8,,86.6,83.8,73.2,,
Gore, MacKenzie,669022,94.7,,,87.4,84.8,80.8,,
Wilson, Bryse,669060,92.9,92.5,,83.5,86.1,77.2,,
Lynn, Lance,458681,93,91.6,89,86.7,85.8,82.7,,
Smyly, Drew,592767,,92.4,88.4,,82.6,78.3,,
Watkins, Spenser,657093,91.4,,87.1,78.7,86.1,77,,
Odorizzi, Jake,543606,92.1,92.2,87.7,82.7,,71.9,85.4,
Junis, Jakob,596001,87.6,91.7,85.5,82.6,84.3,,,
Kremer, Dean,665152,93.4,92.3,87.5,,84,76,,
Adon, Joan,672851,95,95,,86.2,87.4,79.7,,
Lorenzen, Michael,547179,94.7,93.9,90.5,83.2,86.4,81.4,,
White, Mitch,669952,93.8,94.2,,85.2,87.5,80.3,,
Voth, Austin,608723,93.8,,89.8,84.5,87.1,77.7,,
Suarez, José,660761,92.6,91.3,,80.3,82.3,77.8,,
Crawford, Kutter,676710,94.7,,88.9,85.1,86.7,79.8,,
Garrett, Braxton,666129,91.4,90.9,,84.2,86,78.9,,
Heasley, Jonathan,669169,93.9,93.9,,86.8,85.4,79.2,,
Crowe, Wil,640444,94.9,94.2,,87.4,85.7,81.3,,
Civale, Aaron,650644,90.6,91,86.3,80.3,,75.5,85.4,
Eflin, Zach,621107,93.1,92.6,89.9,85.5,87,78.2,,
Williams, Trevor,592866,91,88.9,,83,84.4,78.7,,
Hutchison, Drew,571800,92.6,92.9,,85.8,86.7,,,
Yarbrough, Ryan,642232,,86.7,82.7,,78.7,71.2,,
Smeltzer, Devin,656970,89.5,88.4,,84.9,82.1,75.6,,
Buehler, Walker,621111,95.2,94.9,91.5,83.5,90.5,79.2,,
Hernandez, Elieser,622694,91.5,91.9,,80,84.4,,,
Zimmermann, Bruce,669145,90.6,90.6,,85,84.7,81,,
Peralta, Freddy,642547,92.7,,,80.4,85.9,76.4,,
Whitlock, Garrett,676477,95.1,95.3,,83.1,84.6,,,
Burke, Brock,656271,94.9,93.5,,86.5,88,,,
Winckowski, Josh,670174,93.5,93.9,88.4,84.7,89.6,,,
Sampson, Adrian,592716,92.7,92.2,85.2,83.3,85.6,,,
Scott, Tanner,656945,96.9,,,89.2,,,,
Moore, Matt,519043,94,,,,85.2,83.5,,
Feltner, Ryan,663372,94.6,93.3,,84,83.5,77.4,,
Contreras, Roansy,672710,96.2,,,85,89.9,79.5,,
Faedo, Alex,656412,92.7,,,85,86.2,,,
Keuchel, Dallas,572971,88.1,87.2,85.2,77,79.3,,,
Oller, Adam,670124,93.6,93.6,89.6,84.4,86.7,80.3,,
Akin, Keegan,669211,93.4,,,84.9,83.9,75.1,,
Davis, Austin,656354,94,94.9,,80.7,86,77.7,,
