year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Lynn, Lance,458681,Rangers,TEX,R,94.6,1858,3553,21.932098765432098,0.5229383619476499,FF,4-Seamer,15.9,-15.4,-0.6,-4,6.1,-8,-1.8,-23,0.3864168618266979,0.2903981264637002
2019,López, Reynaldo,625643,White Sox,CWS,R,95.4,1850,3163,19.645962732919255,0.5848877647802719,FF,4-Seamer,15.2,-14.7,-0.6,-4,10,-7.6,2.5,33,0.3864168618266979,0.7798594847775175
2019,Cole, Gerrit,543037,Astros,HOU,R,97.1,1733,3362,20.753086419753085,0.5154669839381321,FF,4-Seamer,10.9,-13.8,2.9,21,11.4,-7.8,3.6,45,0.9765807962529274,0.882903981264637
2019,Verlander, Justin,434378,Astros,HOU,R,94.6,1617,3448,21.28395061728395,0.4689675174013921,FF,4-Seamer,10.7,-13.7,2.9,22,10.1,-6.9,3.1,45,0.9765807962529274,0.8266978922716628
2019,Odorizzi, Jake,543606,Twins,MIN,R,92.9,1614,2787,17.203703703703702,0.5791173304628633,FF,4-Seamer,15.5,-16.3,0.7,4,10.6,-7.4,3.1,42,0.6768149882903981,0.8266978922716628
2019,Paxton, James,572020,Yankees,NYY,L,95.4,1596,2665,16.450617283950617,0.598874296435272,FF,4-Seamer,14.7,-14.5,-0.2,-1,11.4,-7.5,3.9,52,0.47540983606557374,0.8969555035128806
2019,Giolito, Lucas,608337,White Sox,CWS,R,94.2,1548,2814,17.47826086956522,0.5501066098081023,FF,4-Seamer,12.3,-14.1,1.9,13,7.6,-6.3,1.3,20,0.8875878220140515,0.6206088992974239
2019,deGrom, Jacob,594798,Mets,NYM,R,96.9,1536,3297,20.35185185185185,0.4658780709736124,FF,4-Seamer,12.2,-13.6,1.4,10,5.7,-7.4,-1.7,-23,0.7985948477751756,0.3114754098360656
2019,Boyd, Matthew,571510,Tigers,DET,L,92.1,1509,3118,19.366459627329192,0.4839640795381655,FF,4-Seamer,17.3,-16.8,-0.5,-3,10.2,-7.7,2.5,33,0.405152224824356,0.7798594847775175
2019,Buehler, Walker,621111,Dodgers,LAD,R,96.5,1504,2838,17.51851851851852,0.5299506694855532,FF,4-Seamer,11.7,-14.1,2.4,17,4.8,-7.8,-3,-38,0.9484777517564403,0.18266978922716628
2019,Minor, Mike,501985,Rangers,TEX,L,92.5,1497,3358,20.728395061728396,0.4458010720667064,FF,4-Seamer,17,-16.5,-0.5,-3,4.1,-7.5,-3.4,-45,0.405152224824356,0.1451990632318501
2019,Flaherty, Jack,656427,Cardinals,STL,R,94.3,1476,3179,19.623456790123456,0.46429694872601446,FF,4-Seamer,15.8,-15.6,-0.2,-1,4.8,-7.8,-3.1,-39,0.47540983606557374,0.17330210772833723
2019,Bieber, Shane,669456,Guardians,CLE,R,93.1,1474,3332,20.567901234567902,0.44237695078031214,FF,4-Seamer,13.6,-16,2.3,15,8.3,-7.6,0.7,10,0.936768149882904,0.5573770491803278
2019,Bauer, Trevor,545333,Reds,CIN,R,94.5,1462,3687,22.75925925925926,0.3965283428261459,FF,4-Seamer,13.8,-15.6,1.7,11,9.8,-8.2,1.7,20,0.8618266978922716,0.6651053864168618
2019,Smith, Caleb,592761,Marlins,MIA,L,91.6,1431,2661,16.425925925925927,0.5377677564825254,FF,4-Seamer,17.4,-17.3,-0.1,-1,14.6,-8.6,6.1,71,0.5128805620608899,0.9859484777517564
2019,Fried, Max,608331,Braves,ATL,L,93.8,1418,2670,16.48148148148148,0.5310861423220974,FF,4-Seamer,18.9,-15.5,-3.4,-22,3.2,-7.4,-4.2,-56,0.0702576112412178,0.08430913348946135
2019,Davies, Zach,605200,Brewers,MIL,R,88.4,1408,2680,16.54320987654321,0.5253731343283582,SIFT,Sinker,22.8,-26.1,-3.3,-13,16.1,-14.8,1.3,9,0.16104868913857678,0.7303370786516854
2019,Paddack, Chris,663978,Padres,SD,R,93.9,1391,2280,14.074074074074074,0.6100877192982456,FF,4-Seamer,12.6,-14.6,2,14,7.6,-6.7,0.9,13,0.8969555035128806,0.5737704918032787
2019,Bumgarner, Madison,518516,Giants,SF,L,91.4,1388,3244,20.02469135802469,0.4278668310727497,FF,4-Seamer,17.1,-16.7,-0.3,-2,9.1,-7.2,2,27,0.4496487119437939,0.7189695550351288
2019,Hudson, Dakota,641712,Cardinals,STL,R,93.5,1386,2848,17.580246913580247,0.4866573033707865,SIFT,Sinker,23.6,-21,2.6,12,12.8,-14.3,-1.6,-11,0.8389513108614233,0.19101123595505617
2019,Senzatela, Antonio,622608,Rockies,COL,R,93.7,1385,2237,13.808641975308642,0.6191327670987931,FF,4-Seamer,20,-15.5,-4.5,-29,5,-7.3,-2.3,-31,0.03044496487119438,0.22950819672131148
2019,Sparkman, Glenn,642098,Royals,KC,R,93.4,1380,2275,14.04320987654321,0.6065934065934065,FF,4-Seamer,17.1,-16.1,-1.1,-7,10.1,-7.9,2.3,29,0.297423887587822,0.7587822014051522
2019,Matz, Steven,571927,Mets,NYM,L,93.3,1367,2702,16.679012345679013,0.5059215396002961,SIFT,Sinker,20.7,-21.9,-1.2,-5,15.8,-14.7,1.1,8,0.3707865168539326,0.7116104868913857
2019,Means, John,607644,Orioles,BAL,L,91.7,1362,2681,16.549382716049383,0.5080193957478553,FF,4-Seamer,13.3,-16.2,2.8,18,5.9,-6.3,-0.4,-6,0.9695550351288056,0.4332552693208431
2019,Lucchesi, Joey,664192,Padres,SD,L,90.1,1356,2643,16.314814814814813,0.5130533484676504,SIFT,Sinker,20.7,-23.1,-2.4,-10,11.8,-13.9,-2.1,-15,0.23595505617977527,0.13857677902621723
2019,Miley, Wade,489119,Astros,HOU,L,87.3,1345,2968,18.320987654320987,0.45316711590296493,FC,Cutter,28.3,-28.6,0.2,1,2.5,2,0.5,26,0.546875,0.5625
2019,Scherzer, Max,453286,Nationals,WSH,R,94.9,1341,2770,17.098765432098766,0.48411552346570397,FF,4-Seamer,16.7,-16.2,-0.5,-3,12.2,-9.1,3.1,34,0.405152224824356,0.8266978922716628
2019,Lauer, Eric,641778,Padres,SD,L,91.8,1332,2510,15.493827160493828,0.5306772908366534,FF,4-Seamer,16.1,-16.5,0.5,3,9.2,-6.9,2.4,34,0.6346604215456675,0.7704918032786885
2019,Velasquez, Vince,592826,Phillies,PHI,R,94.2,1324,2120,13.08641975308642,0.6245283018867924,FF,4-Seamer,13.7,-15.4,1.7,11,4.1,-7.7,-3.6,-47,0.8618266978922716,0.117096018735363
