last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Gray, Jon,592351,2027,,,2462,1453,2598,,
Cobb, Alex,502171,2225,2099,,,,2611,1606,
Bubic, Kris,663460,2110,,,,1672,2599,,
Rasmussen, Drew,656876,2400,2425,2608,2467,,2685,,
Kaprielian, James,621076,2011,2027,,2249,1345,2484,,
Rogers, Trevor,669432,2403,,,2026,1355,,,
Detmers, Reid,672282,2089,2120,,2200,1422,2477,,
Scherzer, Max,453286,2378,,2384,2291,1406,2744,,
Davies, Zach,605200,,2062,2140,2504,1655,2559,,
Eovaldi, Nathan,543135,2132,,2379,2189,,2067,1563,
Otto, Glenn,657248,2241,2209,,2581,1698,2434,,
Bundy, Dylan,605164,2348,2187,,2391,1310,2114,,
Snell, Blake,605483,2432,,,2399,1904,2278,,
Kikuchi, Yusei,579328,2254,,2253,2335,1552,,,
Ashcraft, Graham,668933,,2172,2362,2703,1776,,,
Senzatela, Antonio,622608,2132,2099,,2101,2083,2205,,
Pallante, Andre,669467,2236,2111,,2337,,2840,,
Archer, Chris,502042,2169,,,2459,1713,2458,,
Wells, Tyler,669330,2456,,,2548,2097,2628,,
Syndergaard, Noah,592789,2136,2122,,2158,1530,2135,,
Peterson, David,656849,2078,2093,,2319,1666,2254,,
Stroman, Marcus,573186,2429,2252,2578,2676,,2531,1658,
Kirby, George,669923,2168,2215,,2169,1448,2191,,
Hearn, Taylor,621368,2317,2191,2234,2125,1777,,,
Martinez, Nick,607259,2333,2343,2388,,1707,2601,,
Springs, Jeffrey,605488,2243,2291,,2189,1390,,,
Gray, Sonny,543243,2518,2422,2742,2644,2013,2815,,
Espino, Paolo,502179,2233,,,2742,1411,3015,,
Stripling, Ross,548389,2115,1968,,2300,1667,2382,,
Severino, Luis,622663,2242,2206,2415,2675,1548,,,
Houser, Adrian,605288,2239,2091,,2278,1553,2008,,
Hendricks, Kyle,543294,2020,1890,,,2040,2983,,
Hill, Rich,448179,2264,2240,2288,2537,1824,2646,,
Brieske, Beau,689225,2375,2391,,2187,2219,2262,,
Minor, Mike,501985,2470,,,2694,2171,2437,,
Bradish, Kyle,680694,2294,,,2481,1433,2494,,
Clevinger, Mike,605182,2269,2200,2446,2424,1581,2202,,
Wacha, Michael,608379,2128,2055,2054,,1582,2169,,
Kershaw, Clayton,477132,2416,2384,,2574,2126,2405,,
Gore, MacKenzie,669022,2237,,,1957,2083,2293,,
Wilson, Bryse,669060,2014,1959,,2155,1609,2298,,
Lynn, Lance,458681,2424,2310,2589,2540,1830,2500,,
Smyly, Drew,592767,,2133,2099,,1300,2064,,
Watkins, Spenser,657093,2262,,2450,2575,1653,2568,,
Odorizzi, Jake,543606,2147,2125,2087,2071,,2207,1351,
Junis, Jakob,596001,1801,2195,2479,2469,1395,,,
Kremer, Dean,665152,2232,2156,2478,,1567,2687,,
Adon, Joan,672851,2186,2147,,2061,1886,2263,,
Lorenzen, Michael,547179,2405,2240,2468,2436,1928,2544,,
White, Mitch,669952,2287,2207,,2463,1601,2395,,
Voth, Austin,608723,2361,,2433,2722,1911,2989,,
Suarez, José,660761,2197,2028,,2584,1555,2699,,
Crawford, Kutter,676710,2408,,2414,2423,1309,2263,,
Garrett, Braxton,666129,2320,2097,,2292,1639,2304,,
Heasley, Jonathan,669169,2326,2352,,2299,1869,2633,,
Crowe, Wil,640444,2462,2253,,2769,1730,2460,,
Civale, Aaron,650644,2348,2325,2604,2832,,2957,1837,
Eflin, Zach,621107,2176,2037,2142,2126,1703,2361,,
Williams, Trevor,592866,2229,1917,,2231,1796,2256,,
Hutchison, Drew,571800,2263,2299,,2593,1765,,,
Yarbrough, Ryan,642232,,1817,2063,,1914,2164,,
Smeltzer, Devin,656970,2279,2173,,2166,1599,2548,,
Buehler, Walker,621111,2267,2167,2411,2671,1550,2662,,
Hernandez, Elieser,622694,2088,2072,,2105,1916,,,
Zimmermann, Bruce,669145,2335,2311,,2432,1935,2446,,
Peralta, Freddy,642547,2347,,,2123,1714,2082,,
Whitlock, Garrett,676477,2120,2142,,1921,2034,,,
Burke, Brock,656271,2256,2062,,2141,1967,,,
Winckowski, Josh,670174,2197,2023,2133,2335,1613,,,
Sampson, Adrian,592716,2089,1997,2552,2632,1852,,,
Scott, Tanner,656945,2560,,,2740,,,,
Moore, Matt,519043,2381,,,,2009,2449,,
Feltner, Ryan,663372,2353,2312,,2523,1543,2533,,
Contreras, Roansy,672710,2388,,,2450,2068,2756,,
Faedo, Alex,656412,2180,,,2486,1946,,,
Keuchel, Dallas,572971,2183,1923,2160,2305,1544,,,
Oller, Adam,670124,2257,2116,2188,1609,1647,2135,,
Akin, Keegan,669211,2250,,,2162,1966,2385,,
Davis, Austin,656354,2230,2291,,2371,1876,2514,,
Nelson, Nick,656793,1956,,,2260,1893,2225,,
Alexander, Tyler,641302,2261,2114,2336,2337,1533,,,
Ramírez, Erasmo,541640,2181,2199,2377,,1673,2546,,
Barlow, Scott,605130,2381,1400,,2454,,2490,,
Cishek, Steve,518553,2375,2275,,2253,2033,,,
Houck, Tanner,656557,2137,2047,,2556,,,1656,
Barría, Jaime,642545,2284,2147,,2196,1616,,,
Ureña, José,570632,2133,2179,,2337,1674,,,
Coleman, Dylan,669395,2447,2517,,2470,,,,
Baker, Bryan,641329,2333,,2405,,1926,,,
López, Jorge,605347,2077,1999,,2387,1687,2444,,
Diekman, Jake,518617,2277,2172,,2845,1489,,,
Lodolo, Nick,666157,2464,2334,,,1965,2747,,
Ruiz, José,614179,2355,,,,1795,2280,,
Velasquez, Vince,592826,2415,2261,,2487,1558,2373,,
Jax, Griffin,643377,2374,,,2798,1583,2736,,
Wick, Rowan,592858,2247,,2232,2131,,2592,,
Beede, Tyler,595881,2085,2141,,2073,1601,2068,,
García, Rony,665621,2335,2252,,,1748,2343,,
Chavez, Jesse,445926,2070,1969,2222,2588,1814,2484,,
Luzardo, Jesús,666200,2216,2178,,,1883,2308,,
Hicks, Jordan,663855,2210,2050,,2489,1775,,,
Rogers, Tyler,643511,1939,1879,,2280,,,,
Jackson, Zach,667427,2122,,2204,2464,1239,,,
Stratton, Chris,608717,2633,2450,,2854,2224,3176,,
Smith, Caleb,592761,2438,,,2325,2157,2468,,
Phelps, David,475479,2355,2231,2421,,2173,2536,,
Leiter Jr., Mark,643410,1943,1902,2127,2204,818,2266,,
Doval, Camilo,666808,,2442,2519,2570,,,,
McHugh, Collin,543521,2389,,2499,2787,,2713,,
Pagán, Emilio,641941,2510,,2359,2477,,,1510,
Crismatt, Nabil,622503,2143,2097,,2017,1706,2237,,
Hoffman, Jeff,656546,2457,,,2691,1523,,,
Maton, Phil,664208,2486,2205,2683,2660,2243,2987,,
Pilkington, Konnor,663455,2213,2222,,2225,1777,2245,,
Tate, Dillon,622253,1901,1971,,2435,1646,,,
Richards, Trevor,670950,2213,,,,2490,2103,,
Williams, Devin,642207,2263,,2378,,2747,,,
Clarke, Taylor,664199,2269,,,2177,1535,,,
Kimbrel, Craig,518886,2261,,,,,2548,,
Beeks, Jalen,656222,2127,,2255,2258,1948,,,
Givens, Mychal,571710,2431,,,2575,2060,,,
Montero, Rafael,606160,2312,2223,,2343,2032,,,
Brebbia, John,605154,2296,,,2527,,,,
Rogers, Taylor,573124,1982,2169,,2698,,,,
Minter, A.J.,621345,2418,,2616,,1650,,,
Muñoz, Andrés,662253,2283,,,2234,,,,
Strickland, Hunter,519326,2357,2252,,2822,1558,,,
Acevedo, Domingo,642758,2118,2157,,2108,1864,,,
Estévez, Carlos,608032,2232,,,2280,1671,,,
Logue, Zach,656657,2010,,2227,,1867,2431,,
Ottavino, Adam,493603,2357,2248,2576,2711,2117,,,
Duran, Jhoan,661395,2163,,2320,,,2650,1648,
Puk, A.J.,640462,2277,2162,,2235,1362,,,
Jiménez, Joe,641729,2459,,,2236,2199,,,
Knebel, Corey,608349,2369,,,,,2803,,
Vest, Will,676684,2060,,,2384,1567,,,
Bautista, Félix,642585,2334,,1240,2441,,,1113,
Lange, Alex,656638,2266,2219,,,1695,2190,,
Robertson, David,502085,,,2616,2646,,2648,,
Alexander, Jason,669920,2199,2064,,2532,1788,,,
Soto, Gregory,642397,2364,2369,,2388,2205,,,
Díaz, Alexis,664747,2657,,,2756,,2864,,
Ramirez, Noé,598287,2182,,,,2015,2521,,
Gallegos, Giovanny,606149,2388,,,2476,1911,,,
Morgan, Eli,669212,2263,,2237,2258,2096,2152,,
Lugo, Seth,607625,2232,2304,,2424,1767,3256,,
Finnegan, Kyle,640448,,2052,,2119,,,1068,
Boxberger, Brad,502202,2386,,,2454,1325,,,
Smith, Will,519293,2174,,,2257,2039,1875,,
De Jong, Chase,608328,2402,2416,,2422,1646,2560,,
Stephens, Jackson,623451,2059,1909,,2457,1495,2996,,
Suter, Brent,608718,2131,2078,,,1509,2226,,
Milner, Hoby,571948,1967,1977,,,1786,1883,,
Gilbreath, Lucas,656458,2372,,,2393,,,1319,
Loup, Aaron,571901,,2126,2323,,1925,2312,,
King, Michael,650633,2433,2375,,2785,2152,,,
Graveman, Kendall,608665,2370,2221,,2484,1774,2479,,
Krehbiel, Joey,607216,2170,,2449,2481,1498,,,
Matz, Steven,571927,,2258,,2160,2319,2360,,
Okert, Steven,595345,2231,,,2488,,,,
Holmes, Clay,605280,2266,2212,,2555,,,,
Díaz, Edwin,621242,2346,2223,,2265,,,,
Cimber, Adam,643256,2182,2146,,2479,,,,
Sanmartin, Reiver,665665,2197,2199,,2425,1995,,,
Sawamura, Hirokazu,617228,2100,,,2294,,,1410,
Brasier, Ryan,518489,2257,2213,,2459,1312,,,
Neris, Héctor,593576,2440,2348,,1970,,,1141,
Edwards Jr., Carl,605218,2507,,,,1642,2102,,
Fulmer, Michael,605242,2277,2179,,2401,1550,2410,,
Abreu, Bryan,650556,2301,,,2725,1806,2879,,
Machado, Andres,600921,2123,2046,,2015,1514,,,
Trivino, Lou,642152,1992,2028,2291,2528,1658,2180,,
Banks, Tanner,621383,2256,,,2310,1759,2192,,
Effross, Scott,664123,2243,2212,,2447,2061,,,
Rodriguez, Eduardo,593958,2168,2138,2177,2178,1931,,,
Castellanos, Humberto,528748,2139,2030,,2073,1410,2406,,
Payamps, Joel,606303,2435,2272,,2724,2011,,,
López, Reynaldo,625643,2238,,,2262,1554,2501,,
Jansen, Kenley,445276,,2239,2576,2449,,,,
Foster, Matt,641582,2241,,2258,2298,1819,2150,,
Murfee, Penn,682171,2268,2079,,2642,,,,
Schreiber, John,670167,2228,2180,,2606,1641,,,
García, Jarlín,606424,2165,,,2244,2108,,,
Long, Sam,669674,2205,2182,,,1946,2520,,
Helsley, Ryan,664854,2632,,,2438,1564,2522,,
Bednar, David,670280,2287,2256,,,,2440,1553,
Sewald, Paul,623149,2492,,,2405,,,,
Bass, Anthony,542914,2016,1981,,2211,,,1238,
Norris, Daniel,596057,2348,2270,,2613,1425,2405,,
Adam, Jason,592094,2622,,,2687,1990,2706,,
Thielbar, Caleb,573204,2285,,,2365,1101,2448,,
Stephan, Trevor,663986,2456,,,2570,,,1277,
Herget, Jimmy,623474,2239,2227,,2595,1503,2717,,
Shaw, Bryan,543766,2157,,2408,2597,1654,2221,,
Leone, Dominic,608678,2322,2269,2397,2445,,,,
Bard, Daniel,453268,2527,2511,,2795,2271,,,
Wisler, Matt,605538,1961,,,2477,,,,
Duffey, Tyler,608648,2276,2399,,,1863,2463,,
Foley, Jason,671345,2187,2037,,2238,1599,,,
Bickford, Phil,641360,2357,,,2286,,,,
Armstrong, Shawn,542888,2304,2166,2478,2535,,,,
Falter, Bailey,663559,2001,1783,,1959,1564,2087,,
Winder, Josh,680739,2000,,,2069,1508,2150,,
Garcia, Yimi,554340,2452,2237,,2452,1860,2708,,
García, Luis,472610,2194,2131,,2492,,,1083,
Hader, Josh,623352,1991,1998,,2443,1582,,,
Hill, Garrett,682051,2151,2120,,2525,1348,2626,,
Chacín, Jhoulys,468504,2380,2308,,2627,1469,2556,,
Richards, Garrett,572070,2310,2376,,2605,1690,2859,,
Bellatti, Andrew,571479,2445,,,2415,1693,,,
Hernández, Carlos,672578,2351,2301,,2005,,2258,1207,
Vesia, Alex,681911,2301,,,2407,1947,,,
Hentges, Sam,656529,2225,2131,,2315,,2532,,
Luetge, Lucas,476595,,,2588,2677,,2431,,
Abreu, Albert,656061,2160,2199,,2265,1914,,,
Peralta, Wandy,593974,2186,2182,,2240,2183,,,
Megill, Tylor,656731,2169,,2240,2287,1535,2330,,
Peralta, Wily,503449,1944,1876,,2258,,,1165,
Howard, Spencer,675921,2144,,2162,,1471,1938,,
Smith, Drew,622098,2499,2505,,2815,1969,2814,,
Colomé, Alex,517008,2118,,2147,,,,,
Mantiply, Joe,573009,2213,2180,,,1710,2325,,
Hendriks, Liam,521230,2384,,,2185,,2167,,
Staumont, Josh,622251,2259,2192,,,,2693,,
Poche, Colin,621363,2241,,,2554,,2602,,
Iglesias, Raisel,628452,2306,2306,,2556,1887,,,
Gutierrez, Vladimir,661269,2140,,,2490,1737,2555,,
Phillips, Evan,623465,2316,2120,2410,2551,,,,
Romano, Jordan,605447,2288,2357,,2077,,,,
Cabrera, Génesis,650893,2229,2192,,,1781,2399,,
Stanek, Ryne,592773,2309,,,2513,,,1044,
Pérez, Cionel,672335,2181,2248,,2607,,,,
Stephenson, Robert,596112,2390,,,2900,,2950,1521,
Santana, Dennis,642701,2432,2409,,2677,2051,,,
Brash, Matt,666374,2226,,,2861,2060,2956,,
Kennedy, Ian,453178,2443,,2075,,1295,2530,,
Melancon, Mark,453343,2331,,2276,,,2596,1817,
Tepera, Ryan,572193,2206,2179,,2293,1230,2280,,
Familia, Jeurys,544727,2293,2180,,2181,,,1717,
Raley, Brooks,548384,2452,2290,2539,2934,1881,2996,,
Hughes, Brandon,676714,2305,2220,,2356,1964,,,
Bush, Matt,456713,2523,,2614,,,2480,,
Domínguez, Seranthony,622554,2354,2304,,2439,1761,,,
Underwood Jr., Duane,621249,2259,2100,2100,,1473,2443,,
Swarmer, Matt,664161,1989,,,2194,1468,,,
Sánchez, Aníbal,434671,2073,1939,2104,2155,1468,1982,,
Alvarado, José,621237,2145,2103,2204,,,2465,,
De Los Santos, Enyel,660853,2249,,,2143,1862,,,
Pineda, Michael,501381,1929,,,1928,1709,,,
Moll, Sam,594580,,2528,,3174,,,,
Martin, Chris,455119,2169,2063,2142,2383,,2584,1513,
Castillo, Diego,650895,1951,1997,,2249,,,,
Swanson, Erik,657024,2286,,,2338,,,1157,
Thompson, Ryan,657044,2154,1985,2146,2144,745,,,
Chafin, Andrew,605177,2133,2097,,2466,1795,,,
Hand, Brad,543272,2351,2289,,2279,,,,
Clase, Emmanuel,661403,2538,,2625,2630,,,,
Thornton, Trent,663423,2427,2262,,2920,,3035,,
Rodríguez, Joely,570257,2010,1961,,2265,1059,,,
Peters, Dillon,596071,2305,2190,,2377,1543,2906,,
Festa, Matthew,670036,2326,2380,,2549,,2660,,
Wilson, Steven,621051,2358,,,2620,2114,,,
Gott, Trevor,641627,2208,2036,2260,,1429,2087,,
Sanchez, Aaron,592717,2124,2104,,,1727,2588,,
Martin, Brett,656685,2149,2197,,2213,,2259,,
Jefferies, Daulton,641726,2126,2059,2155,,1501,2365,,
Heaney, Andrew,571760,2427,,,2576,2136,,,
Arano, Víctor,644364,2268,2124,,2507,,,,
Blach, Ty,621389,,2177,2353,,1894,2385,,
Pepiot, Ryan,686752,2416,,,2695,2387,,,
Garrett, Amir,607237,2220,2189,,1829,,,,
Cessa, Luis,570666,2222,2157,,2511,1705,,,
Marte, Yunior,628708,2421,2301,,2589,2462,,,
Cotton, Jharel,605194,2262,,,2428,2386,2607,,
Bleier, Richard,542947,2101,2033,1988,2018,1527,,,
Castano, Daniel,641447,2241,2166,2388,2437,1766,,,
Martin, Davis,663436,2308,,,2653,2130,2579,,
Pruitt, Austin,643493,2258,,,2546,1668,2896,,
Wantz, Andrew,681806,2342,,2564,2401,1593,,,
Ortega, Oliver,661383,2294,2270,2331,,,2325,,
Kuhnel, Joel,669270,2225,2236,,2356,1477,,,
Chapman, Aroldis,547973,2353,2431,,2270,,,819,
Gilbert, Tyler,656457,2098,2026,2219,,,2497,1431,
Floro, Dylan,571670,2169,2119,,1884,1812,,,
Rucker, Michael,621074,2248,,2361,2477,1814,2528,,
Littell, Zack,641793,2140,,,2227,,,960,
King, John,667463,,2057,2453,2648,1674,,,
Stammen, Craig,489334,,2216,2316,,1600,2349,,
Cabrera, Edward,665795,2310,2270,,2453,1672,2442,,
Nance, Tommy,667297,2319,2312,,2618,,2855,,
Graterol, Brusdar,660813,2104,2047,2307,2527,,,,
Sandlin, Nick,680704,2294,2136,,2611,,,1459,
Lee, Dylan,669276,2264,,,1981,1510,2089,,
Sears, JP,676664,2151,,,2475,1891,,,
Lambert, Jimmy,669424,2216,,,2561,1573,2603,,
Pressly, Ryan,519151,2520,,,2720,,3268,,
Suarez, Robert,663158,2298,2250,2187,,1792,2133,,
Snead, Kirby,669912,2508,2398,,2804,2209,,,
Farmer, Buck,571656,2315,,,2675,1682,,,
Jiménez, Dany,666204,2216,,2150,2360,,,,
Hill, Tim,657612,2181,2056,,2003,,,,
Ober, Bailey,641927,2306,,,2177,1820,2251,,
Liberatore, Matthew,669461,2113,2039,,2562,1510,2710,,
Rainey, Tanner,663432,2429,,,2383,1119,,,
McGee, Jake,459429,2084,,,1854,,,,
Fleming, Josh,676596,1779,1770,1934,,1708,1851,,
Nelson, Kyle,669459,2142,,,2566,,2415,,
Garza Jr., Ralph,621248,2248,2163,2247,2367,1705,2495,,
Price, David,456034,1902,1897,1950,,1620,2224,,
Head, Louis,545343,2171,,,2628,1453,,,
Mayers, Mike,594577,2281,,2275,2126,1602,,,
Silseth, Chase,681217,2349,2237,,2574,,2664,1296,
Danish, Tyler,641501,1882,1793,,2291,1406,2400,,
Warren, Art,605521,2239,,,2527,,,,
Banda, Anthony,607455,2128,2085,,1972,1740,1998,,
Marinaccio, Ron,676760,2315,,,2351,1980,,,
Megill, Trevor,656730,2438,2539,,2738,,2745,,
Elder, Bryce,693821,,1958,2130,2390,2091,2452,,
Martinez, Seth,661527,2189,2142,2436,2458,1714,,,
Mayza, Tim,641835,2156,2026,,2192,,,,
Strahm, Matt,621381,2293,2266,,2404,2099,2695,,
Kelly, Joe,523260,2192,2159,,,2041,2870,,
Moreta, Dauri,664294,2251,2288,,1978,1831,,,
Wendelken, J.B.,605525,2442,2256,,2660,1628,2576,,
McFarland, T.J.,519008,,1940,,2258,1623,,,
Schmidt, Clarke,657376,2508,2395,,2857,2068,2935,,
Castro, Miguel,612434,,2127,,2820,1820,,,
Cuas, Jose,621016,,2462,,2663,1644,,,
Wittgren, Nick,621295,2037,2061,2241,2324,1727,,,
Mills, Wyatt,670090,2005,1836,,2354,,,,
Weems, Jordan,607179,2119,,,2244,952,2158,,
Shreve, Chasen,592741,2338,,,2272,,,989,
Germán, Domingo,593334,2533,2452,,,2276,2566,,
Loáisiga, Jonathan,642528,2442,2329,,2596,1935,2624,,
Barlow, Joe,669618,2344,2352,,2274,,2450,,
Gustave, Jandel,594311,2486,2379,,2379,,,,
Matzek, Tyler,554431,2406,,,2760,,2641,,
Weaver, Luke,596133,2359,2332,2327,2307,1663,2273,,
Naughton, Packy,676050,2079,2033,,2361,1427,2276,,
Bird, Jake,656234,,1936,2353,,1713,2843,,
Davidson, Tucker,656353,2020,1996,,2257,1703,2475,,
Manning, Matt,666159,2081,1938,,2134,1408,2287,,
Leclerc, José,600917,2613,,,2585,2157,,,
Smith, Joe,501925,2053,1895,,2223,,,,
De Los Santos, Yerry,660787,2226,2197,,2185,,,,
Poteet, Cody,547001,2343,2174,,2811,1984,2796,,
Sulser, Cole,642121,2239,,,2238,1537,2375,,
Baz, Shane,669358,2429,,,2541,2009,2744,,
Brogdon, Connor,641401,2286,,2375,,2029,,,
Oviedo, Johan,670912,2217,,,2581,1644,2423,,
Rodriguez, Elvin,660730,2401,2363,,2413,2095,2493,,
Barnes, Matt,598264,2232,,,,2041,2022,,
Koenig, Jared,657649,2142,2130,2096,,1622,2237,,
Martin, Corbin,656686,2304,,,2294,1987,2448,,
Sands, Cole,663485,2211,,2362,,2047,2814,1236,
Almonte, Yency,622075,2150,2136,,2464,1852,,,
Robles, Hansel,570663,2306,2316,,2287,1607,,,
Moran, Jovani,663558,2235,,,2607,1771,,,
Rogers, Josh,642028,2100,2118,,2208,1509,,,
VerHagen, Drew,572403,2371,2371,2347,2312,1686,2216,,
Holderman, Colin,670059,2225,2173,2416,2455,1899,,,
Borucki, Ryan,621366,,2190,,2357,1709,,,
Bañuelos, Manny,544365,2031,1764,,2419,1698,2460,,
Quijada, José,650671,2183,,,2509,1610,,,
Santillan, Tony,663574,2206,,,2292,,,,
Hudson, Daniel,543339,2408,2380,,2469,2379,,,
Castillo, Max,666721,2203,2239,,2389,1629,2324,,
Martínez, Adrián,661309,,2140,,1919,2242,,,
Abbott, Cory,676265,2239,,,2119,2058,2179,,
Ryu, Hyun Jin,547943,1959,,1959,,1510,2530,,
Moronta, Reyes,606625,2324,,,2460,1954,,,
Medina, Adonis,658431,2358,2288,,2409,1753,2453,,
Gose, Anthony,543238,2246,,,2288,1859,,,
Poppen, Sean,664092,,2099,,2301,2000,,,
O'Day, Darren,503285,2387,2176,,2315,,,,
Gibaut, Ian,664139,2285,,2367,2491,1887,,,
Detwiler, Ross,446321,2246,2079,2145,,1477,2110,,
Snider, Collin,676092,2385,2409,,2654,2250,,,
Kinley, Tyler,641755,2244,2261,,2424,1622,,,
Goudeau, Ashton,623485,2066,,,,1543,2301,,
Kelley, Trevor,665001,,2223,,2437,1916,2549,,
Sánchez, Cristopher,650911,,2067,,1932,1914,,,
Norwood, James,656803,2145,2220,,2031,,,1543,
Paddack, Chris,663978,2193,,,1861,1949,2155,,
Newcomb, Sean,656794,2322,2466,2596,,,2812,,
Tetreault, Jackson,676194,2018,,1994,,1513,2119,,
Sousa, Bennett,656986,2055,,,2141,,,,
Thornburg, Tyler,592804,2405,,,2260,1448,2615,,
McCarty, Kirk,668948,2296,2252,2339,2407,1610,2726,,
