last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Alcantara, Sandy,645261,2187,2282,,2341,2045,2350,,
Cole, Gerrit,543037,2443,,2483,2583,1599,2802,,
Burnes, Corbin,669203,2598,2489,2612,2792,1997,2755,,
Mikolas, Miles,571945,2296,2234,,2393,1574,2561,,
Lyles, Jordan,543475,2203,2099,2440,2630,1464,2375,,
Webb, Logan,657277,2092,1896,,2641,1503,,,
Gilbert, Logan,669302,2132,,,2322,1741,2124,,
Wainwright, Adam,425794,2242,2200,2416,,1778,2781,,
Pivetta, Nick,601713,2313,1330,,2310,1201,2710,,
Rodón, Carlos,607074,2347,,,2440,1754,2455,,
Nola, Aaron,605400,2296,2184,2179,,1478,2585,,
Kelly, Merrill,518876,2363,2216,2350,2458,2176,2565,,
Cease, Dylan,656302,2508,2492,,2839,1711,2707,,
Darvish, Yu,506433,2404,2279,2755,2734,,2647,1313,
Ray, Robbie,592662,2284,2189,,2187,1753,2103,,
Bumgarner, Madison,518516,2204,2022,2288,,1487,2287,,
Bassitt, Chris,605135,2191,2116,2269,2329,1836,2327,,
Morton, Charlie,450203,2381,2198,2557,,2160,3072,,
Manoah, Alek,666201,2373,2187,,2222,1978,,,
Pérez, Martín,527048,2045,1988,2218,,1650,2494,,
Freeland, Kyle,607536,2383,2346,,2381,1468,2446,,
Valdez, Framber,664285,2190,2207,2688,,1636,2848,,
Fried, Max,608331,2141,2027,,2392,1412,2725,,
Corbin, Patrick,571578,2120,2076,,2190,1630,1944,,
López, Pablo,641154,2190,1992,2229,,1955,2476,,
Wheeler, Zack,554430,2389,2227,,2457,1553,2657,,
Gray, Josiah,680686,2202,2230,,2028,2034,2488,,
Gallen, Zac,668678,2421,2216,2437,2509,1543,2502,,
Quantrill, Cal,615698,2154,2089,2227,,1507,2436,,
Gibson, Kyle,502043,2286,2128,2355,2516,1616,2459,,
Márquez, Germán,608566,2134,2111,,2398,1573,2599,,
Musgrove, Joe,605397,2558,2441,2586,2705,1994,2721,,
Bieber, Shane,669456,2212,,2525,2513,1555,2172,,
Urquidy, José,664353,2196,,2508,2609,1996,2620,,
Verlander, Justin,434378,2419,,,2469,1755,2628,,
Gonzales, Marco,594835,1977,,2037,,2103,2101,,
Taillon, Jameson,592791,2381,2299,2531,2559,1846,2728,,
Lauer, Eric,641778,2299,,2284,2271,1767,2407,,
Wood, Alex,622072,,2040,,2065,1667,,,
Wright, Kyle,657140,2388,2260,,2394,1716,2735,,
McClanahan, Shane,663556,2227,,,2355,1725,2637,,
McKenzie, Triston,663474,2308,,,2185,,2186,,
Quintana, José,500779,2074,2062,,,1323,2258,,
Gausman, Kevin,592332,2262,,,2223,1461,,1577,
Mahle, Tyler,641816,2294,,2396,2497,,,1897,
Cortes, Nestor,641482,2265,2279,2368,2503,1332,2461,,
Manaea, Sean,640455,,2009,,2026,1431,1993,,
Dunning, Dane,641540,2051,1989,2129,2060,1851,,,
Giolito, Lucas,608337,2160,,,1964,1442,2355,,
Anderson, Ian,666120,1937,2060,,,1519,1874,,
Berríos, José,621244,2242,2124,,,1518,2281,,
Keller, Brad,641745,2407,2191,,2545,1584,,,
Montgomery, Jordan,656756,2319,2217,2385,,1674,2259,,
Brubaker, JT,664141,2155,2278,,2655,1874,2817,,
Anderson, Tyler,542881,2236,2231,2408,2380,1848,2138,,
Plesac, Zach,668676,2149,2080,,2126,1629,2182,,
Javier, Cristian,664299,2359,,,2626,2217,2890,,
Carrasco, Carlos,471911,2279,2160,,2456,1290,2636,,
Ohtani, Shohei,660271,2215,1893,2418,2480,,2496,1272,
Steele, Justin,657006,2485,2416,,2681,1692,2513,,
Garcia, Luis,677651,2391,2206,2339,2494,2023,2542,,
Flexen, Chris,623167,2130,,2347,2519,1302,2654,,
Irvin, Cole,608344,1976,1946,,2004,1566,2071,,
Urías, Julio,628711,2531,2530,2135,,1959,2919,,
Skubal, Tarik,669373,2157,2052,,2118,1599,2230,,
Keller, Mitch,656605,2413,2362,,2574,1690,2557,,
Gonsolin, Tony,664062,2326,,,2486,,2568,1409,
Suárez, Ranger,624133,1873,1901,2017,2118,1524,2219,,
Hudson, Dakota,641712,2167,2060,,2343,1453,2410,,
Montas, Frankie,593423,2357,2241,2394,2405,,,1442,
Castillo, Luis,622491,2353,2160,,2420,1931,,,
Greene, Hunter,668881,2360,,,2357,1990,,,
Kopech, Michael,656629,2535,,,2390,1625,2402,,
Greinke, Zack,425844,2287,2186,2374,2435,1628,2426,,
Sandoval, Patrick,663776,2037,1923,,2551,1605,2791,,
Kluber, Corey,446372,2264,2073,2454,,1644,2512,,
Walker, Taijuan,592836,2150,2036,2335,2387,,2211,1472,
Gomber, Austin,596295,2154,,,2392,1642,2497,,
Kuhl, Chad,641771,2195,2133,,2533,1701,2865,,
Woodruff, Brandon,605540,2348,2283,,2440,2005,2514,,
Blackburn, Paul,621112,2135,2001,2484,2567,1811,2604,,
Strider, Spencer,675911,2340,,,2381,2151,,,
Cueto, Johnny,456501,2206,2122,2192,2239,1329,2199,,
Ryan, Joe,657746,2173,,,2121,2121,2353,,
Thompson, Zach,605507,2384,2228,2584,,1863,2263,,
Fedde, Erick,607200,1860,1875,2135,,1503,2397,,
Lynch, Daniel,663738,2124,2088,,2046,1677,2091,,
Thompson, Keegan,624522,2357,2336,2542,2741,2097,2563,,
Singer, Brady,663903,2337,2283,,2324,2236,,,
Ashby, Aaron,676879,2094,2083,,2545,1797,2593,,
