last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Jurado, Ariel,642558,2031,1770,,2124,1945,2267,,
Beede, Tyler,595881,2320,2260,,2199,1600,2292,,
Brault, Steven,643230,2068,1888,2211,2192,1582,2032,,
Chirinos, Yonny,630023,2399,2278,,2335,,,1294,
Woodruff, Brandon,605540,2257,2165,,2324,1792,2298,,
LeBlanc, Wade,453281,1935,1888,2005,,1544,2272,,
Chacín, Jhoulys,468504,2158,2080,,2354,1422,2582,,
Pomeranz, Drew,519141,2436,2358,2354,,1967,2283,,
Brooks, Aaron,605156,2083,2013,,2467,1642,2272,,
Plesac, Zach,668676,2133,,,2028,1543,1955,,
Snell, Blake,605483,2353,,,2367,1821,2464,,
Foltynewicz, Mike,592314,2237,2184,,2443,1876,2436,,
Zimmermann, Jordan,519455,2284,2201,,2288,1708,2372,,
Keuchel, Dallas,572971,2123,2006,2134,2229,1572,,,
Price, David,456034,2209,2188,2193,,1800,2264,,
Beeks, Jalen,656222,2005,2047,2167,,1837,2586,,
Ynoa, Gabriel,593679,2049,2029,,2280,2007,2306,,
Houser, Adrian,605288,2193,2145,,2216,1553,2004,,
Plutko, Adam,592644,2265,,2456,2738,1630,2886,,
López, Pablo,641154,2069,2036,,,1943,2358,,
Strahm, Matt,621381,2308,2311,,2461,2086,2572,,
Quantrill, Cal,615698,2135,2060,,2346,1429,2326,,
Freeland, Kyle,607536,2291,2269,,2235,1519,2256,,
Sabathia, CC,282332,2098,2051,2194,2208,1885,,,
Cahill, Trevor,502239,2220,2207,2154,,1566,2950,,
Heaney, Andrew,571760,,2524,,,1988,2545,,
Milone, Tommy,543548,2192,,,2328,1745,2471,,
Rodríguez, Dereck,605446,2051,2058,2165,,1935,2589,,
Gausman, Kevin,592332,2249,,,2310,1773,,1576,
Pivetta, Nick,601713,2340,2146,,2306,1928,2861,,
Peralta, Freddy,642547,2454,,,,1966,2424,,
Anderson, Shaun,641312,2495,2335,,2649,1454,2519,,
Lambert, Peter,663567,2256,2247,,2164,1534,2277,,
Montgomery, Mike,543557,1978,1888,2050,,1787,2281,,
Peña, Félix,570240,2091,2099,,2498,1675,,,
Canning, Griffin,656288,2335,,,2506,1671,2425,,
Godley, Zack,643327,2255,2202,2238,,1717,2123,,
Font, Wilmer,521655,2370,2270,,2259,,2492,1333,
Clarke, Taylor,664199,2316,2166,,2227,1520,2484,,
Peacock, Brad,502748,2296,2230,,2751,1970,2599,,
Barría, Jaime,642545,2248,2215,,2239,1478,,,
Montas, Frankie,593423,2421,2359,,2509,,,1636,
Suarez, José,660761,2243,,,2476,1608,2788,,
Holland, Derek,502706,,2386,,2243,1864,2098,,
Wojciechowski, Asher,592879,2235,,2408,2371,2000,,,
Stripling, Ross,548389,2274,2134,2314,2369,1584,2650,,
Hernandez, Elieser,622694,2247,2174,,2245,1886,,,
Hess, David,605276,2184,2039,,2322,1595,2351,,
Gaviglio, Sam,543208,,2092,,2140,1232,2128,,
González, Gio,461829,2261,2145,,,1623,2688,,
Gallen, Zac,668678,2370,2255,2329,,1499,2404,,
Skaggs, Tyler,572140,2193,,,,1699,2609,,
Yamamoto, Jordan,657141,2248,2371,2517,2793,1855,2637,,
Ureña, José,570632,2044,2157,,2315,1712,2328,,
Cease, Dylan,656302,2449,2403,,2622,1626,2622,,
Guerra, Junior,448855,2459,2356,,,,2651,1235,
Urías, Julio,628711,2511,2458,,2584,1855,2746,,
Waguespack, Jacob,621097,2011,1983,1984,2121,1519,2168,,
Young, Alex,622065,2219,2208,2347,,1794,2379,,
Ramirez, Nick,598286,2032,1972,2178,,1471,2281,,
Hendriks, Liam,521230,2381,2160,,2156,,2117,,
Jackson, Edwin,429719,2270,2112,2339,2299,2221,2518,,
Chavez, Jesse,445926,2312,2124,2311,2333,2063,2429,,
Cessa, Luis,570666,2301,2222,,2494,1645,2398,,
Barlow, Scott,605130,2303,2200,,2445,1593,2516,,
Stanek, Ryne,592773,2364,,,2251,,,1103,
Lorenzen, Michael,547179,2538,2372,2596,2635,2150,2531,,
McHugh, Collin,543521,2317,2322,2560,2825,1625,2797,,
Barnes, Matt,598264,2412,,,,,2274,2113,
Fedde, Erick,607200,1860,1807,2079,,1624,2355,,
Chatwood, Tyler,543022,2479,2516,2760,,1789,3092,,
Bradley, Archie,605151,2242,2134,,,1533,1978,,
Green, Chad,643338,2463,,,2250,,,1983,
Leclerc, José,600917,2655,2430,,2713,2206,2667,,
Lugo, Seth,607625,2220,2240,,2435,1736,3285,,
Carrasco, Carlos,471911,2391,2258,,2729,1447,2886,,
Peters, Dillon,596071,2245,2182,,2388,1606,2909,,
Eovaldi, Nathan,543135,2186,,2345,2237,,2174,1578,
Hoffman, Jeff,656546,2453,,,2486,1425,2624,,
Pannone, Thomas,623381,2219,,,2348,1881,2447,,
Jackson, Luke,592426,2304,,,2576,2134,2645,,
Stammen, Craig,489334,2129,2170,2341,,2009,2363,,
Stratton, Chris,608717,2498,2521,2453,2922,2106,3107,,
Workman, Brandon,519443,2126,,2196,,,2608,,
Cortes, Nestor,641482,2186,2164,,2319,1457,2172,,
Estévez, Carlos,608032,2248,2215,,2394,1717,,,
Walden, Marcus,519393,2227,2095,2276,2378,,,,
Lamet, Dinelson,659275,2407,2380,,2653,1802,2710,,
Castro, Miguel,612434,,2287,,3029,2199,,,
Hudson, Daniel,543339,2469,2445,,2642,2383,,,
Hernández, Félix,433587,2151,2060,,2317,1734,2441,,
Brebbia, John,605154,2389,,,2605,2174,,,
Buttrey, Ty,621142,2233,2047,,1867,1835,,,
Suero, Wander,593833,2471,,2554,,2101,2829,,
Andriese, Matt,542882,2337,2180,,2460,2223,2671,,
Law, Derek,571882,2132,,,2245,2014,2045,,
Shaw, Bryan,543766,,,2396,2721,1549,2593,,
Diekman, Jake,518617,2212,2095,,2813,1609,,,
Newcomb, Sean,656794,2240,,,2841,1618,2874,,
Valdez, Framber,664285,2228,2176,,,1802,2960,,
May, Trevor,543507,2347,2345,,2556,1988,2527,,
Detwiler, Ross,446321,2214,2098,2257,2177,1644,2145,,
Farmer, Buck,571656,2346,,,2657,1800,,,
Chen, Wei-Yin,612672,2138,2058,,2291,1372,2299,,
Rodríguez, Richard,593144,2506,2432,,2421,1833,,,
