last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Flynn, Brian,543169,2264,2227,,2323,1671,,,
McKay, David,641853,,2383,,,,3054,,
Kela, Keone,605309,2266,,,,1846,2380,,
Tarpley, Stephen,605501,2206,2124,,2228,2114,2665,,
Hall, Matt,664180,2303,,2788,2895,1801,2927,,
Noesí, Hector,456051,,2125,,2202,1858,2586,,
McRae, Alex,656725,2154,2182,,2290,1454,2427,,
Adams, Chance,664856,2444,2458,,2986,1892,2897,,
Thorpe, Lewis,626929,2017,,,1956,1629,2440,,
Allen, Cody,592102,2460,,,,,2534,,
Guerrieri, Taylor,605260,2224,2165,1262,,1734,2998,,
Johnson, DJ,597113,2310,,2396,,1873,2641,,
Boxberger, Brad,502202,2212,,,2242,1320,,,
Stewart, Brock,592779,2408,2411,,2351,1653,,,
Wendelken, J.B.,605525,2384,2213,,2511,1571,2578,,
Cole, A.J.,595918,2406,,,2374,2189,2349,,
Minaya, Juan,573668,2312,,1702,2194,1571,2263,,
Burke, Brock,656271,2194,2093,,2328,2170,2201,,
Crichton, Stefan,592233,2121,2047,,,1773,2546,,
Ramírez, Yefry,606162,2380,2351,,2459,2049,2581,,
Domínguez, Seranthony,622554,2380,2393,,2438,1669,,,
Morgan, Adam,605388,2384,2407,,2796,1753,2994,,
Scott, Tanner,656945,2412,2337,,2586,,,,
Ramírez, Neil,519166,2425,,,2364,,2731,,
Markel, Parker,571917,2400,2311,,2706,1557,,,
Montero, Rafael,606160,2263,2239,,2434,2062,,,
Reyes, Gerardo,622103,2417,2342,,2437,,2226,,
Fillmyer, Heath,641571,2219,2098,,2371,1712,2478,,
Coonrod, Sam,656322,2380,2206,,2816,1767,,,
Allen, Logan,663531,1997,,,2414,1186,2561,,
Manaea, Sean,640455,,1956,,2002,1458,1871,,
Hicks, Jordan,663855,2201,2031,,2439,1103,,,
Dowdy, Kyle,664871,2046,,,2181,1708,2477,,
Zimmer, Kyle,622092,2282,,,2179,1439,2016,,
Anderson, Tyler,542881,2333,2268,2548,,2050,2377,,
Dobnak, Randy,677976,2051,1944,,2392,1653,,,
Smith, Burch,572143,2279,2153,,2247,1866,2388,,
Sadzeck, Connor,592712,2298,2080,,2287,2163,,,
Anderson, Tanner,664196,2193,2248,2401,2434,1715,,,
Shoemaker, Matt,533167,2197,2066,,2036,,2005,1167,
Payano, Pedro,622797,,2366,,2543,1974,2763,,
Otero, Dan,519096,2097,2012,,2135,1359,,,
Muñoz, Andrés,662253,2272,2236,2136,2380,1999,,,
Jewell, Jake,657228,2182,2156,,2322,1652,,,
Shawaryn, Mike,642067,2002,2025,,2554,1982,2536,,
Faria, Jake,607188,2131,,,1849,,,1143,
Davis, Austin,656354,2430,,,2533,2249,2622,,
Nelson, Jimmy,519076,2452,2318,,2794,1431,2770,,
Rosenthal, Trevor,572096,2348,2295,,2212,1788,,,
Zeuch, T.J.,643615,2218,2192,,2009,1779,2142,,
Gagnon, Drew,543193,2008,,,2330,1934,2515,,
Ginkel, Kevin,656464,2145,,,2120,1784,,,
Adam, Jason,592094,2580,,,,1815,2539,,
Skoglund, Eric,607215,2091,1985,,,1568,2202,,
Lakins Sr., Travis,664042,2217,,2497,,1574,2747,,
Tuivailala, Sam,592815,2199,2137,,1957,,2276,,
Duke, Zach,435043,2158,1993,,2495,,2348,,
Fairbanks, Pete,664126,2393,,,2239,,,,
Stewart, Kohl,640464,2152,2131,,2428,1824,2726,,
Boshers, Buddy,542953,,2094,,,1579,2632,,
Howard, Sam,607572,2345,,,2339,,,,
Thornburg, Tyler,592804,2518,,,,1538,2826,,
Bashlor, Tyler,641341,2567,,,2456,1716,,,
Festa, Matthew,670036,2283,2140,2389,2458,,2586,,
Kimbrel, Craig,518886,2323,,,,,2533,,
Bergen, Travis,664157,2112,,,,1737,2673,,
Lovelady, Richard,663992,2320,2294,,2451,1887,,,
Rosscup, Zac,573127,2009,2009,,2492,,,,
Cabrera, Génesis,650893,2251,2232,,,1776,2571,,
Martin, Corbin,656686,2413,,,2448,2046,2666,,
Oh, Seunghwan,493200,2218,,2192,2185,1710,2454,,
Strickland, Hunter,519326,2352,2335,2539,2776,1831,,,
Lockett, Walker,621141,2245,2272,,,1519,2629,,
Stashak, Cody,664054,2241,,,2222,1477,,,
Koch, Matt,571863,2123,,2148,,1668,2404,,
Sipp, Tony,448609,2065,,,2007,,,969,
Harvey, Joe,642840,2507,,,2637,1827,,,
Burr, Ryan,621114,2071,,2217,2310,,,,
Wilson, Bryse,669060,2225,2097,,2322,1765,2286,,
Scott, Tayler,605463,2223,2231,,2792,,,,
McClain, Reggie,596035,,2170,,2309,1936,,,
Wright, Kyle,657140,2412,2309,,2477,1769,2682,,
Winkler, Dan,595465,2542,2042,2522,,,2642,,
Tate, Dillon,622253,2133,2096,2504,,1793,,,
Gustave, Jandel,594311,2416,2334,,2321,,,,
Edwards Jr., Carl,605218,2636,1829,,,1629,2344,,
Clase, Emmanuel,661403,2537,,2566,2615,,,,
Sneed, Cy,605482,2346,2383,2361,2350,1335,2378,,
Smith, Joe,501925,2150,1938,,2322,1730,,,
Bolaños, Ronald,671790,2239,2238,,2574,1376,2650,,
Tepera, Ryan,572193,2275,2251,2414,2374,1225,,,
Hammer, JD,670456,2234,,,2469,,,,
Mayers, Mike,594577,2353,,,2199,2129,2620,,
Palumbo, Joe,643478,2451,,,,1645,2530,,
Wilkerson, Aaron,658792,2350,,,2194,1554,2348,,
Estrada, Marco,462136,2281,,2403,,1988,2626,,
Armenteros, Rogelio,660494,2005,,,2323,1522,2265,,
Hernández, Jonathan,642546,2130,2137,,2350,2337,,,
Marvel, James,621086,1882,1835,,,1264,2283,,
Sewald, Paul,623149,2331,2093,,2241,1634,,,
Rodriguez, Jose,642578,2267,2204,,2241,2121,2411,,
DuRapau, Montana,657566,2438,,2846,,2034,2966,,
Staumont, Josh,622251,2239,2250,2245,,,2728,,
Hildenberger, Trevor,657610,2008,1934,,2269,1617,,,
Garrett, Reed,657585,2291,,2404,2465,,,1740,
Shepherd, Chandler,605469,2179,,,2148,1412,2215,,
Menez, Conner,669214,2349,,,2215,1563,2417,,
Sherfy, Jimmie,642073,2161,,,2574,1803,2314,,
Romano, Jordan,605447,2261,2406,,2076,,,,
Dunn, Mike,445197,2327,2205,,2415,,2222,,
Grotz, Zac,665093,2001,1836,,2184,,2406,1025,
McGowin, Kyle,641851,2359,2396,,2809,2189,2660,,
Volquez, Edinson,450172,2280,2291,,,1237,2726,,
Valdez, Phillips,570488,2449,2456,,2446,2137,,,
Chargois, JT,608638,2248,2321,,2297,,,,
Adams, Austin,542866,2200,,,2504,1963,,,
Smith, Josh D.,605479,2645,2540,,3016,1860,,,
Ramos, Edubray,591693,2420,,,2542,1928,,,
Mazza, Chris,607391,1777,1836,2223,2286,1427,,,
Altavilla, Dan,656186,2389,,,2905,,,,
Neshek, Pat,450212,,2099,2022,2234,1376,,,
Romero, Fernando,622864,2241,2210,,2537,1772,,,
Alexander, Scott,518397,,2271,,2311,1650,,,
Miller, Justin,502522,2405,2349,,2648,2092,,,
Flexen, Chris,623167,2144,1980,2460,,1275,2766,,
Lucas, Josh,572998,2204,2144,,2586,,2415,,
Tropeano, Nick,607374,2303,2232,,2303,2030,,1019,
Gómez, Jeanmar,491646,2035,1991,,2094,1255,2273,,
Gibaut, Ian,664139,2056,,,2233,2082,,,
Romano, Sal,607219,2049,2170,,2513,,2297,,
Williams, Taylor,592865,2382,2372,,2609,2010,,,
Cueto, Johnny,456501,2292,2212,,2344,1386,2417,,
Black, Ray,605143,2612,,,2995,,,,
Rogers, Josh,642028,2170,2155,,2239,1507,2444,,
Alaniz, R.J.,595798,2263,2119,,2355,1712,2351,,
Kay, Anthony,641743,2301,,,,1920,2453,,
Rogers, Tyler,643511,1850,1893,,2294,,,,
Williams, Devin,642207,2341,2384,2252,1954,2625,,,
Despaigne, Odrisamer,628333,2125,2159,2596,2770,1405,2773,,
Dull, Ryan,623430,2437,,,2622,1397,,,
Santana, Ervin,429722,2070,2024,,2307,1518,,,
